ID,group,x_acc__sum_values,x_acc__median,x_acc__mean,x_acc__length,x_acc__standard_deviation,x_acc__variance,x_acc__root_mean_square,x_acc__maximum,x_acc__absolute_maximum,x_acc__minimum,y_acc__sum_values,y_acc__median,y_acc__mean,y_acc__length,y_acc__standard_deviation,y_acc__variance,y_acc__root_mean_square,y_acc__maximum,y_acc__absolute_maximum,y_acc__minimum,z_acc__sum_values,z_acc__median,z_acc__mean,z_acc__length,z_acc__standard_deviation,z_acc__variance,z_acc__root_mean_square,z_acc__maximum,z_acc__absolute_maximum,z_acc__minimum,x_acc__freezing_index,x_acc__central_frequency,x_acc__dominant_frequency,x_acc__amplitude,x_acc__relative_amplitude,x_acc__percentile25,x_acc__percentile50,x_acc__percentile75,y_acc__freezing_index,y_acc__central_frequency,y_acc__dominant_frequency,y_acc__amplitude,y_acc__relative_amplitude,y_acc__percentile25,y_acc__percentile50,y_acc__percentile75,z_acc__freezing_index,z_acc__central_frequency,z_acc__dominant_frequency,z_acc__amplitude,z_acc__relative_amplitude,z_acc__percentile25,z_acc__percentile50,z_acc__percentile75
tone036-2,1,486.577,0.121,0.1121145161,4340,0.1346784702,0.01813829034,0.1752368542,0.535,0.535,-0.324,-3796.79,-0.867,-0.8748364055,4340,0.1250686004,0.0156421548,0.8837312325,-0.184,1.84,-1.84,2229.282,0.504,0.513659447,4340,0.09879933891,0.009761309369,0.5230748865,0.969,0.969,0.305,0.0868855771,2.168863464,0.9765625,0.02757002383,0.3123422009,0,0.121,0.215,1.008905051,6.044848685,1.7578125,0.009233929723,0.1244501214,-0.898,-0.867,-0.82,0.3099783846,2.5437466,1.7578125,0.01118536292,0.2829202518,0.441,0.504,0.555
tone037-1,1,1302.375,0.285,0.291750672,4464,0.09112574456,0.008303901321,0.3056507091,0.723,0.723,-0.039,-3524.577,-0.844,-0.7895557796,4464,0.2011868381,0.04047614384,0.8147849243,-0.109,1.156,-1.156,2127.033,0.422,0.4764858871,4464,0.2364711317,0.05591859613,0.5319373993,1.051,1.051,-0.113,0.5610734358,3.123259024,2.9296875,0.005468485004,0.155257808,0.25,0.285,0.344,0.3882343762,1.272563555,0.1953125,0.02512260834,0.4303317487,-0.918,-0.844,-0.703,0.556456167,1.971147867,0.1953125,0.02398187608,0.3565502418,0.297,0.422,0.633
tone037-2,1,1297.908,0.277,0.293246272,4426,0.09361415455,0.008763609933,0.3078262269,0.746,0.746,0.016,-3812.713,-0.906,-0.8614353818,4426,0.1486548741,0.02209827158,0.874167712,-0.402,1.18,-1.18,1442.645,0.285,0.3259478084,4426,0.2412211894,0.05818766221,0.4054992429,1.027,1.027,-0.086,0.7407860535,3.322958973,2.9296875,0.005793373255,0.1825776262,0.23,0.277,0.348,0.536305267,2.023362959,0.1953125,0.01018695624,0.2622411406,-0.961,-0.906,-0.801,0.5171694886,1.834155187,0.1953125,0.02487574102,0.3881643927,0.137,0.285,0.445
tone038-1,1,86.071,0.027,0.02003048639,4297,0.1048629601,0.0109962404,0.1067588909,0.305,0.328,-0.328,-3240.209,-0.75,-0.7540630673,4297,0.1131149476,0.01279499137,0.7624999021,-0.453,1.121,-1.121,2984.7,0.676,0.6946008843,4297,0.1284901423,0.01650971667,0.7063852385,1.223,1.223,0.379,0.4353061554,2.544148338,0.9765625,0.01013672716,0.197459447,-0.043,0.027,0.086,1.285736125,3.679230492,1.953125,0.007117807157,0.1270179438,-0.824,-0.75,-0.676,0.5384444443,3.007645687,1.953125,0.0219999696,0.2775851875,0.602,0.676,0.762
tone038-2,1,176.889,0.047,0.04394757764,4025,0.09630528831,0.009274708556,0.1058588595,0.336,0.336,-0.242,-3035.174,-0.75,-0.7540804969,4025,0.1099934068,0.01209854955,0.7620603292,-0.426,1.164,-1.164,2803.528,0.672,0.6965286957,4025,0.1201281872,0.01443078135,0.7068118598,1.199,1.199,0.414,0.6868198974,2.772026893,0.9765625,0.01023954844,0.1958210538,-0.023,0.047,0.098,1.820276659,4.104207739,4.1015625,0.009451539628,0.1441428926,-0.813,-0.75,-0.676,0.5550692929,3.050181426,1.953125,0.02081713444,0.2603140531,0.617,0.672,0.758
tone039-1,1,-70.188,-0.047,-0.01802465331,3894,0.1035757536,0.01072793673,0.1051324158,0.438,0.438,-0.355,138.356,0.027,0.03553055984,3894,0.1874014666,0.03511930967,0.1907399548,0.699,0.699,-0.496,4014.545,1.035,1.0309566,3894,0.1064299163,0.01132732708,1.036435641,1.422,1.422,0.719,0.2129673318,3.081285173,0.9765625,0.008709639344,0.1806041523,-0.09,-0.047,0.043,0.2626516358,1.660200556,0.1953125,0.03439775049,0.2678639416,-0.109,0.027,0.121,0.2446151176,2.492093159,1.953125,0.02179927276,0.3482074577,0.969,1.035,1.063
tone039-2,1,-91.742,-0.043,-0.02697500735,3401,0.09630810794,0.009275251654,0.1000145123,0.453,0.453,-0.395,299.703,0.113,0.08812202293,3401,0.114460064,0.01310110625,0.1444527507,0.449,0.449,-0.438,3534.73,1.035,1.039320788,3401,0.1138559718,0.01296318231,1.045538561,1.395,1.395,0.758,0.5000074731,3.778329533,2.9296875,0.008762998421,0.1793721293,-0.066,-0.043,0.012,0.3175198341,3.043903489,1.953125,0.01944940612,0.2998425139,0.039,0.113,0.16,0.1535866814,2.629525815,1.953125,0.02998410079,0.3972108417,0.977,1.035,1.07
tone040-1,1,54.424,0.023,0.0107919889,5043,0.1070503289,0.01145977291,0.1075929363,0.492,0.512,-0.512,-55.629,-0.023,-0.01103093397,5043,0.1215803264,0.01478177576,0.1220797169,0.352,0.535,-0.535,5200.994,1.035,1.031329367,5043,0.05182244034,0.002685565322,1.032630539,1.348,1.348,0.742,0.422905618,3.267192819,0.9765625,0.01529615903,0.2497876864,-0.055,0.023,0.066,0.781900822,4.340438857,1.953125,0.006123080716,0.1309408102,-0.066,-0.023,0.059,2.544271081,5.596117095,2.9296875,0.0007839204551,0.05270351532,1.008,1.035,1.051
tone040-2,1,90.109,0.023,0.0185715169,4852,0.1067666575,0.01139911916,0.1083698316,0.527,0.527,-0.398,44.772,0,0.009227535037,4852,0.108476555,0.01176716298,0.1088683167,0.336,0.527,-0.527,5011.576,1.035,1.032888706,4852,0.0497846349,0.002478509872,1.034087805,1.297,1.297,0.793,0.5426278206,3.442935439,0.9765625,0.01610556515,0.2494881011,-0.055,0.023,0.078,0.8268464537,4.68261096,1.953125,0.006083217572,0.137861363,-0.047,0,0.086,1.837345544,5.421618727,1.953125,0.0009810041038,0.06712458095,1.012,1.035,1.051
tone041-1,1,315.102,0.063,0.05108657588,6168,0.1099725955,0.01209397175,0.1212592676,0.313,0.313,-0.258,-4749.284,-0.758,-0.7699876783,6168,0.07886666729,0.00621995121,0.7740161342,-0.563,1.211,-1.211,4102.735,0.664,0.665164559,6168,0.05711263528,0.003261853108,0.6676119709,0.902,0.902,0.523,0.1538935661,2.279246534,1.171875,0.02093975219,0.3347632828,-0.035,0.063,0.145,1.940566414,5.27306306,2.1484375,0.00323374723,0.1044451053,-0.785,-0.758,-0.727,1.296683466,3.895984406,2.1484375,0.001338342452,0.09366109666,0.629,0.664,0.691
tone041-2,1,329.331,0.07,0.06249165085,5270,0.1196925577,0.01432630837,0.1350241267,0.363,0.363,-0.262,-4118.181,-0.77,-0.7814385199,5270,0.08858384634,0.007847097833,0.7864434234,-0.559,1.293,-1.293,3425.812,0.648,0.650059203,5270,0.05915550139,0.003499373345,0.6527452342,0.883,0.883,0.477,0.2040962734,2.466292482,1.171875,0.03202052322,0.4409158785,-0.043,0.07,0.16,1.914628825,5.720763611,4.4921875,0.005064468612,0.1231237793,-0.801,-0.77,-0.73,1.229653291,3.988187856,2.1484375,0.002000451383,0.1169837731,0.609,0.648,0.68
tone042-1,1,-897.511,-0.23,-0.2454898796,3656,0.1270124906,0.01613217276,0.2764008932,0.203,0.992,-0.992,-2779.546,-0.746,-0.7602696937,3656,0.160830323,0.0258663928,0.7770948461,-0.238,1.563,-1.563,2351.218,0.656,0.6431121444,3656,0.1454432146,0.02115372867,0.6593534401,1.246,1.246,0.285,0.3044234151,3.172926654,0.9765625,0.01362753999,0.1705234164,-0.297,-0.23,-0.188,0.2344849157,4.78956616,1.953125,0.02137843889,0.1856843473,-0.809,-0.746,-0.688,0.2427664335,2.674660139,1.953125,0.02633255924,0.279905432,0.547,0.656,0.699
tone042-2,1,-701.218,-0.234,-0.2287823817,3065,0.1418036874,0.02010828576,0.2691647524,0.238,0.855,-0.855,-2282.511,-0.73,-0.7447017945,3065,0.2018171296,0.04073015381,0.7715639419,-0.176,1.672,-1.672,2002.136,0.668,0.6532254486,3065,0.1725913288,0.02978776679,0.6756413646,1.406,1.406,0.277,0.385723807,3.513029583,0.9765625,0.01394583739,0.1423912807,-0.289,-0.234,-0.145,0.195687122,5.355636351,1.953125,0.02991724427,0.2316254499,-0.852,-0.73,-0.641,0.3055665605,3.098284702,1.953125,0.03058004202,0.2577757017,0.52,0.668,0.75
tone043-1,1,613.389,0.148,0.136187611,4504,0.1181479343,0.01395893438,0.1802942034,0.723,0.723,-0.445,-491.18,-0.117,-0.1090541741,4504,0.158381608,0.02508473374,0.192295467,0.504,0.531,-0.531,4534.422,1,1.00675444,4504,0.119889944,0.01437359867,1.013867892,1.469,1.469,0.617,0.4147550633,2.814525894,0.9765625,0.008521267026,0.1384251239,0.051,0.148,0.223,0.4348495145,2.645331963,0.1953125,0.01509844246,0.1690695666,-0.215,-0.117,-0.027,0.06872375133,2.238031181,1.953125,0.03092482673,0.3499665167,0.945,1,1.07
tone043-2,1,659.908,0.156,0.1450347253,4550,0.1078536356,0.01163240671,0.180741468,0.465,0.824,-0.824,-450.566,-0.102,-0.09902549451,4550,0.1390225336,0.01932726484,0.1706848365,0.492,0.879,-0.879,4599.238,1.008,1.010821538,4550,0.1197033798,0.01432889914,1.017884611,1.559,1.559,0.57,0.4186741238,2.903050561,0.9765625,0.007538919233,0.1433600675,0.078,0.156,0.227,0.5064149848,3.321768869,0.1953125,0.01023208259,0.1333970418,-0.188,-0.102,-0.012,0.09541583391,2.284116442,1.7578125,0.03073267375,0.3556210188,0.953,1.008,1.074
tone044-1,1,-303.496,-0.07,-0.060894061,4984,0.1001055563,0.0100211224,0.1171717076,0.41,0.648,-0.648,-484.68,-0.098,-0.09724719101,4984,0.244969891,0.06001024748,0.2635664312,0.453,0.699,-0.699,4984.553,1.004,1.000110955,4984,0.09286395325,0.008623713813,1.00441308,1.492,1.492,0.75,0.2855186542,3.009516184,0.9765625,0.0126071883,0.2438214959,-0.113,-0.07,0,0.3627156892,1.139962286,0.1953125,0.03458863701,0.4170203522,-0.23,-0.098,0.082,0.4190787581,2.716242863,1.7578125,0.004586521859,0.1287164203,0.949,1.004,1.035
tone044-2,1,-234.807,-0.078,-0.04920515507,4772,0.104648724,0.01095135544,0.1156395379,0.367,0.527,-0.527,267.765,0.09,0.05611169321,4772,0.2017337424,0.04069650282,0.2093920365,0.5,0.5,-0.41,4833.369,1.008,1.012860226,4772,0.07430224147,0.005520823087,1.015581932,1.43,1.43,0.785,0.2580432422,3.054277618,0.9765625,0.01488054874,0.2788752969,-0.109,-0.078,0.027,0.2677731368,1.764533689,0.1953125,0.009898463285,0.2473977344,-0.113,0.09,0.203,0.458833988,3.068870341,1.953125,0.003834279053,0.1344688934,0.969,1.008,1.031
tone045-1,1,389.34,0.094,0.09477604674,4108,0.0849446523,0.007215593954,0.1272717289,0.574,0.574,-0.27,-1946.952,-0.461,-0.4739415774,4108,0.1503162116,0.02259496348,0.4972077858,0.09,1.391,-1.391,3736.917,0.918,0.9096682084,4108,0.1195085693,0.01428229814,0.9174849031,1.281,1.281,0.609,0.3899049335,4.556208634,0.9765625,0.004745566091,0.1274696594,0.063,0.094,0.137,0.7847866343,6.483782388,1.953125,0.01388766592,0.135755786,-0.512,-0.461,-0.406,0.2072371236,2.383558581,1.953125,0.02609468372,0.3698595742,0.836,0.918,0.969
