ID,group,zure_x,zure_y,zure_z
001_neck1_clipout.csv,0,49.79,85.976,66.066
002_neck1_clipout.csv,0,36.487,69.224,42.994
003_neck1_clipout.csv,0,60.509,102.454,48.298
004_neck1_clipout.csv,0,70.033,116.961,58.681
005_neck1_clipout.csv,0,59.58,94.383,46.538
006_neck1_clipout.csv,0,38.618,69.218,49.094
007_neck1_clipout.csv,0,45.242,88.634,58.149
009_neck1_clipout.csv,0,37.474,67.108,53.876
010_neck1_clipout.csv,0,32.926,60.615,42.484
011_neck1_clipout.csv,0,78.237,98.504,66.636
012_neck1_clipout.csv,0,46.954,96.496,65.228
014_neck1_clipout.csv,0,33.052,92.011,44.884
015_neck1_clipout.csv,0,42.743,75.32,58.667
017_neck1_clipout.csv,0,62.449,106.592,50.803
018_neck1_clipout.csv,0,74.03,137.463,62.875
019_neck1_clipout.csv,0,56.256,90.527,58.49
020_neck1_clipout.csv,0,34.889,58.443,43.717
021_neck1_clipout.csv,0,45.965,75.142,42.352
022_neck1_clipout.csv,0,41.903,72.88,49.208
023_neck1_clipout.csv,0,44.315,78.013,42.155
024_neck1_clipout.csv,0,46.842,65.504,40.564
025_neck1_clipout.csv,0,40.084,69.639,50.945
026_neck1_clipout.csv,0,35.83,57.854,48.856
027_neck1_clipout.csv,0,46.017,88.485,52.767
028_neck1_clipout.csv,0,44.541,91.831,66.298
029_neck1_clipout.csv,0,54.862,78.444,50.463
030_neck1_clipout.csv,0,46.885,69.851,47.629
031_neck1_clipout.csv,0,62.602,128.292,64.4
032_neck1_clipout.csv,0,48.998,68.507,45.642
tone001_neck1_clipout.csv,1,52.254,80.401,67.326
tone002_neck1_clipout.csv,1,74.329,115.807,47.96
tone006_neck1_clipout.csv,1,66.772,92.413,61.726
tone007_neck1_clipout.csv,1,58.01,63.742,51.553
tone008_neck1_clipout.csv,1,53.611,48.963,59.275
tone009_neck1_clipout.csv,1,75.96,67.01,62.863
tone010_neck1_clipout.csv,1,73.095,84.169,62.714
tone011_neck1_clipout.csv,1,77.143,94.764,81.61
tone012_neck1_clipout.csv,1,55.228,83.23,66.02
tone013_neck1_clipout.csv,1,53.3,52.41,59.783
tone014_neck1_clipout.csv,1,89.821,77.651,67.337
tone015_neck1_clipout.csv,1,80.074,76.896,82.435
tone016_neck1_clipout.csv,1,52.331,62.465,45.714
tone017_neck1_clipout.csv,1,71.799,117.689,51.765
tone018_neck1_clipout.csv,1,72.408,77.172,64.782
tone019_neck1_clipout.csv,1,103.414,84.777,100.717
tone020_neck1_clipout.csv,1,67.21,102.387,72.063
tone021_neck1_clipout.csv,1,67.263,132.693,73.1
tone022_neck1_clipout.csv,1,56.938,101.502,51.106
tone023_neck1_clipout.csv,1,60.553,78.91,60.556
tone024_neck1_clipout.csv,1,49.116,95.484,53.588
tone025_neck1_clipout.csv,1,65.81,121.808,56.008
tone026_neck1_clipout.csv,1,47.054,74.03,41.973
tone027_neck1_clipout.csv,1,63.798,75.72,61.759
tone028_neck1_clipout.csv,1,80.947,74.837,69.394
tone029_neck1_clipout.csv,1,73.532,62.056,63.403
tone030_neck1_clipout.csv,1,68.09,75.025,61.723
tone031_neck1_clipout.csv,1,59.793,87.508,53.432
tone032_neck1_clipout.csv,1,61.635,61.86,50.858
