,0.066,-0.77,0.664
1899,-0.055,-0.555,0.977
1900,-0.082,-0.578,0.961
1901,-0.086,-0.617,0.938
1902,-0.07,-0.637,0.926
1903,-0.059,-0.652,0.926
1904,-0.047,-0.664,0.926
1905,-0.027,-0.68,0.93
1906,-0.004,-0.684,0.93
1907,0.008,-0.688,0.93
1908,0.02,-0.676,0.922
1909,0.031,-0.66,0.91
1910,0.031,-0.648,0.895
1911,0.027,-0.641,0.875
1912,0.027,-0.637,0.84
1913,0.016,-0.637,0.805
1914,0.008,-0.625,0.766
1915,0.0,-0.617,0.73
1916,-0.004,-0.613,0.699
1917,-0.004,-0.621,0.676
1918,-0.008,-0.629,0.672
1919,-0.016,-0.633,0.672
1920,-0.012,-0.645,0.684
1921,-0.02,-0.656,0.695
1922,-0.027,-0.66,0.699
1923,-0.035,-0.656,0.711
1924,-0.039,-0.645,0.715
1925,-0.023,-0.645,0.715
1926,-0.004,-0.656,0.711
1927,-0.012,-0.668,0.707
1928,-0.016,-0.68,0.707
1929,-0.035,-0.672,0.703
1930,-0.051,-0.672,0.707
1931,-0.059,-0.672,0.711
1932,-0.055,-0.684,0.719
1933,-0.039,-0.699,0.73
1934,-0.027,-0.715,0.746
1935,-0.023,-0.703,0.754
1936,-0.023,-0.703,0.766
1937,-0.02,-0.703,0.773
1938,-0.008,-0.703,0.789
1939,0.0,-0.723,0.805
1940,0.008,-0.742,0.801
1941,0.008,-0.766,0.793
1942,0.0,-0.773,0.781
1943,-0.012,-0.773,0.766
1944,-0.023,-0.789,0.738
1945,-0.02,-0.809,0.707
1946,-0.02,-0.859,0.691
1947,0.008,-0.918,0.688
1948,0.059,-0.961,0.695
1949,0.129,-0.957,0.715
1950,0.176,-0.883,0.73
1951,0.199,-0.773,0.746
1952,0.195,-0.676,0.754
1953,0.199,-0.605,0.754
1954,0.227,-0.59,0.742
1955,0.277,-0.625,0.715
1956,0.305,-0.633,0.695
1957,0.281,-0.637,0.707
1958,0.25,-0.645,0.719
1959,0.23,-0.656,0.734
1960,0.227,-0.68,0.746
1961,0.238,-0.691,0.762
1962,0.254,-0.68,0.777
1963,0.254,-0.664,0.789
1964,0.246,-0.652,0.793
1965,0.238,-0.645,0.789
1966,0.219,-0.637,0.773
1967,0.199,-0.621,0.754
1968,0.188,-0.609,0.715
1969,0.168,-0.621,0.691
1970,0.16,-0.648,0.66
1971,0.168,-0.676,0.633
1972,0.168,-0.684,0.621
1973,0.164,-0.688,0.621
1974,0.148,-0.703,0.629
1975,0.148,-0.73,0.633
1976,0.152,-0.75,0.641
1977,0.156,-0.762,0.66
1978,0.184,-0.766,0.68
1979,0.188,-0.758,0.688
1980,0.191,-0.762,0.684
1981,0.191,-0.762,0.684
1982,0.176,-0.758,0.68
1983,0.168,-0.746,0.68
1984,0.168,-0.742,0.676
1985,0.18,-0.734,0.676
1986,0.191,-0.719,0.691
1987,0.191,-0.695,0.699
1988,0.184,-0.672,0.707
1989,0.176,-0.66,0.711
1990,0.176,-0.66,0.719
1991,0.18,-0.645,0.727
1992,0.18,-0.637,0.746
1993,0.191,-0.645,0.766
1994,0.203,-0.656,0.777
1995,0.211,-0.664,0.793
1996,0.215,-0.68,0.805
1997,0.223,-0.734,0.797
1998,0.219,-0.844,0.773
1999,0.188,-0.98,0.77
2000,0.105,-1.063,0.789
2001,0.016,-1.035,0.84
2002,-0.02,-0.934,0.887
2003,0.023,-0.836,0.914
2004,0.078,-0.75,0.891
2005,0.074,-0.691,0.867
2006,0.012,-0.637,0.832
2007,-0.059,-0.621,0.789
2008,-0.117,-0.629,0.758
2009,-0.156,-0.633,0.762
2010,-0.16,-0.625,0.777
2011,-0.141,-0.609,0.793
2012,-0.109,-0.59,0.813
2013,-0.074,-0.559,0.82
2014,-0.051,-0.539,0.832
2015,-0.039,-0.543,0.813
2016,-0.039,-0.57,0.789
2017,-0.055,-0.594,0.77
2018,-0.074,-0.617,0.754
2019,-0.09,-0.645,0.738
2020,-0.094,-0.68,0.715
2021,-0.09,-0.699,0.695
2022,-0.086,-0.719,0.68
2023,-0.086,-0.73,0.68
2024,-0.078,-0.738,0.688
2025,-0.074,-0.75,0.695
2026,-0.066,-0.766,0.703
2027,-0.07,-0.77,0.711
2028,-0.059,-0.766,0.727
2029,-0.059,-0.754,0.727
2030,-0.055,-0.758,0.73
2031,-0.047,-0.762,0.723
2032,-0.039,-0.762,0.715
2033,-0.039,-0.762,0.699
2034,-0.047,-0.758,0.688
2035,-0.055,-0.742,0.672
2036,-0.07,-0.723,0.652
2037,-0.082,-0.719,0.637
2038,-0.098,-0.703,0.629
2039,-0.102,-0.688,0.625
2040,-0.098,-0.684,0.625
2041,-0.082,-0.676,0.637
2042,-0.063,-0.668,0.645
2043,-0.051,-0.672,0.656
2044,-0.047,-0.688,0.664
2045,-0.051,-0.699,0.664
2046,-0.047,-0.703,0.672
2047,-0.055,-0.707,0.684
2048,-0.055,-0.703,0.691
2049,-0.055,-0.715,0.688
2050,-0.051,-0.742,0.672
2051,-0.059,-0.789,0.66
2052,-0.059,-0.906,0.664
2053,0.012,-0.992,0.676
2054,0.16,-0.957,0.703
2055,0.297,-0.906,0.766
2056,0.348,-0.84,0.82
2057,0.316,-0.77,0.871
2058,0.273,-0.762,0.891
2059,0.246,-0.797,0.883
2060,0.234,-0.813,0.895
2061,0.211,-0.793,0.926
2062,0.188,-0.75,0.93
2063,0.172,-0.719,0.902
2064,0.152,-0.73,0.879
2065,0.141,-0.758,0.852
