x_acc,y_acc,z_acc
0.059,-0.637,0.813
0.055,-0.629,0.813
0.055,-0.613,0.82
0.055,-0.605,0.82
0.063,-0.617,0.805
0.066,-0.629,0.801
0.066,-0.633,0.797
0.07,-0.629,0.809
0.07,-0.633,0.816
0.07,-0.633,0.824
0.074,-0.621,0.836
0.082,-0.613,0.84
0.078,-0.609,0.844
0.078,-0.602,0.852
0.078,-0.594,0.855
0.078,-0.594,0.852
0.074,-0.609,0.848
0.07,-0.613,0.84
0.07,-0.613,0.832
0.055,-0.609,0.836
0.055,-0.605,0.848
0.055,-0.602,0.84
0.055,-0.598,0.844
0.059,-0.594,0.848
0.066,-0.59,0.855
0.07,-0.59,0.859
0.066,-0.594,0.867
0.055,-0.582,0.879
0.051,-0.582,0.879
0.051,-0.574,0.875
0.051,-0.578,0.875
0.043,-0.582,0.871
0.043,-0.578,0.871
0.043,-0.57,0.863
0.047,-0.57,0.863
0.051,-0.566,0.859
0.051,-0.559,0.863
0.055,-0.555,0.859
0.047,-0.559,0.863
0.043,-0.559,0.871
0.047,-0.563,0.879
0.043,-0.563,0.883
0.035,-0.566,0.883
0.035,-0.566,0.883
0.035,-0.563,0.887
0.035,-0.563,0.883
0.039,-0.563,0.883
0.035,-0.563,0.883
0.035,-0.57,0.875
0.043,-0.574,0.871
0.043,-0.578,0.871
0.047,-0.578,0.867
0.039,-0.57,0.863
0.031,-0.566,0.859
0.023,-0.566,0.848
0.023,-0.566,0.832
0.023,-0.578,0.832
0.023,-0.586,0.836
0.023,-0.586,0.844
0.023,-0.578,0.855
0.031,-0.57,0.859
0.035,-0.57,0.871
0.035,-0.566,0.875
0.035,-0.563,0.883
0.031,-0.563,0.891
0.027,-0.555,0.891
0.027,-0.555,0.891
0.027,-0.559,0.879
0.023,-0.563,0.867
0.008,-0.555,0.855
0.02,-0.559,0.859
0.02,-0.555,0.859
0.02,-0.555,0.859
0.023,-0.551,0.867
0.023,-0.551,0.871
0.023,-0.547,0.875
0.023,-0.551,0.883
0.02,-0.555,0.891
0.012,-0.551,0.891
0.012,-0.547,0.887
0.008,-0.543,0.871
0.012,-0.555,0.863
0.012,-0.555,0.855
0.008,-0.543,0.855
0.008,-0.543,0.855
0.004,-0.559,0.859
0.0,-0.563,0.859
-0.004,-0.574,0.855
0.0,-0.574,0.855
-0.012,-0.57,0.859
-0.012,-0.57,0.859
-0.016,-0.582,0.859
-0.02,-0.59,0.867
-0.016,-0.59,0.867
-0.016,-0.586,0.875
-0.016,-0.586,0.875
-0.023,-0.59,0.875
-0.016,-0.594,0.871
-0.023,-0.594,0.863
-0.02,-0.59,0.855
-0.016,-0.594,0.855
-0.012,-0.59,0.859
-0.012,-0.59,0.859
-0.004,-0.594,0.855
0.008,-0.59,0.855
0.016,-0.594,0.855
0.02,-0.59,0.855
0.027,-0.582,0.867
0.031,-0.57,0.871
0.039,-0.566,0.875
0.047,-0.563,0.875
0.051,-0.563,0.871
0.055,-0.566,0.863
0.055,-0.578,0.859
0.055,-0.586,0.859
0.047,-0.594,0.859
0.047,-0.598,0.855
0.043,-0.602,0.855
0.047,-0.598,0.852
0.035,-0.598,0.852
0.043,-0.609,0.852
0.039,-0.609,0.848
0.031,-0.617,0.84
0.027,-0.625,0.836
0.027,-0.629,0.828
0.023,-0.633,0.82
0.023,-0.629,0.816
0.023,-0.621,0.809
0.027,-0.617,0.797
0.023,-0.629,0.789
0.02,-0.633,0.781
0.016,-0.641,0.77
0.012,-0.652,0.77
0.0,-0.66,0.77
-0.008,-0.672,0.762
-0.016,-0.676,0.754
-0.012,-0.676,0.75
-0.02,-0.688,0.746
-0.023,-0.703,0.742
-0.023,-0.707,0.746
-0.023,-0.703,0.75
-0.023,-0.703,0.758
-0.031,-0.691,0.773
-0.035,-0.684,0.785
-0.039,-0.68,0.801
-0.043,-0.684,0.813
-0.043,-0.684,0.82
-0.039,-0.684,0.82
-0.047,-0.688,0.82
-0.051,-0.695,0.816
-0.051,-0.734,0.82
-0.035,-0.797,0.836
0.031,-0.805,0.871
0.109,-0.746,0.918
0.129,-0.707,0.957
0.102,-0.711,0.984
0.105,-0.691,1.012
0.133,-0.648,1.043
0.152,-0.598,1.066
0.16,-0.566,1.074
0.164,-0.563,1.047
0.164,-0.566,0.988
0.164,-0.563,0.934
0.152,-0.539,0.906
0.129,-0.52,0.887
0.102,-0.516,0.871
0.086,-0.535,0.859
0.074,-0.559,0.863
0.066,-0.57,0.875
0.051,-0.563,0.898
0.055,-0.563,0.926
0.055,-0.551,0.93
0.059,-0.555,0.926
0.047,-0.559,0.914
0.031,-0.559,0.898
0.016,-0.555,0.871
0.004,-0.551,0.852
-0.004,-0.551,0.82
-0.012,-0.559,0.793
-0.004,-0.57,0.77
0.0,-0.57,0.75
0.008,-0.57,0.738
0.02,-0.566,0.734
0.027,-0.574,0.727
0.035,-0.578,0.719
0.035,-0.582,0.715
0.035,-0.582,0.711
0.039,-0.594,0.707
0.047,-0.605,0.699
0.047,-0.621,0.691
0.051,-0.637,0.684
0.059,-0.645,0.68
0.059,-0.656,0.676
0.063,-0.656,0.672
0.074,-0.672,0.664
0.082,-0.691,0.66
0.086,-0.699,0.66
0.09,-0.711,0.664
0.105,-0.715,0.668
0.105,-0.715,0.664
0.105,-0.727,0.66
0.098,-0.738,0.668
0.09,-0.738,0.672
0.094,-0.734,0.668
0.094,-0.734,0.672
0.102,-0.738,0.68
0.098,-0.742,0.68
0.102,-0.75,0.688
0.098,-0.75,0.691
0.094,-0.754,0.703
0.09,-0.77,0.711
0.086,-0.785,0.711
0.086,-0.793,0.715
0.09,-0.809,0.727
0.09,-0.824,0.734
0.078,-0.848,0.754
0.059,-0.906,0.758
0.027,-0.941,0.754
0.0,-0.91,0.789
-0.016,-0.84,0.859
