x_acc,y_acc,z_acc
0.32,-0.418,0.742
0.297,-0.453,0.742
0.273,-0.488,0.73
0.27,-0.527,0.727
0.254,-0.559,0.727
0.234,-0.578,0.742
0.23,-0.59,0.758
0.215,-0.586,0.766
0.191,-0.574,0.773
0.164,-0.594,0.77
0.117,-0.633,0.773
0.09,-0.664,0.805
0.125,-0.688,0.848
0.215,-0.711,0.898
0.305,-0.734,0.934
0.359,-0.77,0.941
0.383,-0.773,0.906
0.355,-0.73,0.832
0.301,-0.652,0.75
0.27,-0.543,0.684
0.277,-0.449,0.656
0.285,-0.359,0.668
0.305,-0.305,0.727
0.352,-0.281,0.813
0.418,-0.281,0.887
0.453,-0.293,0.977
0.496,-0.324,1.09
0.566,-0.328,1.18
0.586,-0.32,1.223
0.531,-0.336,1.227
0.426,-0.348,1.184
0.316,-0.34,1.137
0.242,-0.336,1.09
0.227,-0.332,1.043
0.262,-0.332,1.0
0.324,-0.328,0.98
0.387,-0.336,0.961
0.43,-0.348,0.953
0.461,-0.371,0.949
0.461,-0.391,0.926
0.438,-0.395,0.902
0.402,-0.391,0.875
0.367,-0.383,0.855
0.34,-0.379,0.836
0.328,-0.379,0.805
0.313,-0.383,0.789
0.313,-0.371,0.77
0.328,-0.375,0.762
0.355,-0.387,0.75
0.375,-0.41,0.73
0.391,-0.434,0.707
0.395,-0.445,0.684
0.379,-0.453,0.668
0.375,-0.461,0.668
0.387,-0.477,0.66
0.406,-0.473,0.672
0.43,-0.465,0.688
0.441,-0.461,0.715
0.438,-0.445,0.746
0.426,-0.449,0.75
0.434,-0.434,0.727
0.461,-0.414,0.727
0.488,-0.395,0.754
0.5,-0.391,0.813
0.488,-0.441,0.887
0.434,-0.531,0.961
0.375,-0.598,1.004
0.328,-0.594,1.02
0.336,-0.551,0.992
0.402,-0.543,0.91
0.5,-0.59,0.844
0.527,-0.652,0.84
0.48,-0.637,0.898
0.391,-0.543,0.984
0.25,-0.422,1.055
0.09,-0.309,1.066
-0.008,-0.23,1.031
-0.047,-0.215,0.965
-0.035,-0.258,0.898
0.023,-0.348,0.867
0.109,-0.41,0.859
0.18,-0.441,0.883
0.254,-0.453,0.914
0.328,-0.445,0.922
0.367,-0.422,0.926
0.383,-0.395,0.93
0.359,-0.387,0.93
0.309,-0.391,0.918
0.262,-0.391,0.91
0.234,-0.383,0.902
0.223,-0.379,0.895
0.234,-0.375,0.871
0.258,-0.375,0.848
0.293,-0.363,0.828
0.328,-0.352,0.813
0.355,-0.344,0.813
0.371,-0.344,0.813
0.363,-0.363,0.809
0.336,-0.383,0.793
0.309,-0.402,0.781
0.293,-0.418,0.773
0.277,-0.445,0.77
0.277,-0.469,0.766
0.289,-0.492,0.762
0.313,-0.496,0.758
0.328,-0.504,0.758
0.32,-0.539,0.77
0.297,-0.582,0.793
0.277,-0.629,0.816
0.254,-0.664,0.844
0.227,-0.676,0.859
0.219,-0.652,0.891
0.219,-0.625,0.918
0.242,-0.621,0.941
0.289,-0.629,0.961
0.332,-0.637,0.969
0.352,-0.672,0.953
0.344,-0.711,0.891
0.324,-0.73,0.789
0.285,-0.695,0.707
0.285,-0.598,0.664
0.273,-0.457,0.66
0.266,-0.32,0.703
0.289,-0.227,0.785
0.367,-0.195,0.848
0.461,-0.23,0.898
0.508,-0.273,0.949
0.508,-0.301,1.008
0.52,-0.336,1.074
0.512,-0.379,1.117
0.473,-0.422,1.145
0.414,-0.434,1.148
0.371,-0.426,1.141
0.348,-0.41,1.129
0.344,-0.383,1.113
0.355,-0.352,1.098
0.379,-0.336,1.066
0.406,-0.332,1.027
0.422,-0.328,0.988
0.418,-0.32,0.953
0.398,-0.309,0.914
0.367,-0.301,0.875
0.336,-0.289,0.848
0.324,-0.273,0.816
0.32,-0.27,0.793
0.328,-0.277,0.762
0.336,-0.289,0.73
0.344,-0.301,0.703
0.34,-0.316,0.68
0.336,-0.336,0.656
0.34,-0.348,0.652
0.344,-0.352,0.648
0.34,-0.367,0.641
0.328,-0.387,0.641
0.32,-0.422,0.641
0.324,-0.461,0.648
0.348,-0.504,0.656
0.383,-0.551,0.664
0.406,-0.594,0.668
0.441,-0.617,0.68
0.457,-0.609,0.715
0.438,-0.566,0.77
0.402,-0.508,0.824
0.402,-0.465,0.852
0.461,-0.453,0.879
0.512,-0.5,0.922
0.496,-0.578,0.961
0.43,-0.633,0.98
0.383,-0.605,0.996
0.367,-0.531,0.988
0.402,-0.516,0.934
0.438,-0.555,0.848
0.445,-0.617,0.816
0.438,-0.613,0.859
0.387,-0.559,0.938
0.273,-0.48,1.012
0.129,-0.371,1.047
0.008,-0.297,1.031
-0.055,-0.254,0.992
-0.055,-0.258,0.949
-0.016,-0.297,0.934
0.063,-0.336,0.93
0.168,-0.367,0.941
0.27,-0.395,0.949
0.336,-0.398,0.953
0.363,-0.363,0.961
0.367,-0.316,0.984
0.355,-0.289,1.0
0.32,-0.289,1.0
0.27,-0.297,0.98
0.234,-0.297,0.957
0.23,-0.289,0.941
0.246,-0.285,0.93
0.277,-0.289,0.898
0.309,-0.301,0.879
0.328,-0.313,0.867
0.336,-0.332,0.855
0.324,-0.359,0.848
0.316,-0.375,0.828
0.316,-0.387,0.809
0.316,-0.398,0.789
0.309,-0.414,0.77
0.301,-0.43,0.758
0.301,-0.441,0.754
0.285,-0.453,0.754
0.262,-0.465,0.754
0.262,-0.496,0.754
0.266,-0.539,0.746
0.266,-0.602,0.742
0.266,-0.664,0.75
0.25,-0.699,0.766
0.23,-0.703,0.801
0.215,-0.672,0.844
0.211,-0.648,0.879
0.207,-0.641,0.906
0.207,-0.641,0.918
0.211,-0.637,0.93
0.227,-0.617,0.949
0.25,-0.613,0.945
0.266,-0.625,0.91
0.281,-0.641,0.852
0.277,-0.621,0.758
0.273,-0.566,0.684
0.293,-0.484,0.66
0.309,-0.375,0.676
0.313,-0.262,0.758
0.34,-0.176,0.852
0.422,-0.145,0.934
0.508,-0.18,0.988
0.539,-0.254,1.047
0.547,-0.313,1.117
0.543,-0.336,1.168
0.488,-0.352,1.199
0.398,-0.375,1.199
0.328,-0.383,1.191
0.309,-0.379,1.184
0.348,-0.363,1.168
0.387,-0.352,1.133
0.418,-0.348,1.09
0.438,-0.34,1.043
0.453,-0.328,1.004
0.445,-0.328,0.973
0.422,-0.332,0.938
0.387,-0.336,0.902
0.344,-0.336,0.871
0.309,-0.324,0.852
0.289,-0.324,0.832
0.285,-0.328,0.805
0.301,-0.332,0.777
0.32,-0.328,0.766
0.336,-0.32,0.758
0.34,-0.313,0.73
0.324,-0.313,0.707
0.301,-0.313,0.688
0.281,-0.316,0.676
0.293,-0.336,0.676
0.313,-0.375,0.695
0.332,-0.418,0.711
0.352,-0.441,0.723
0.371,-0.445,0.738
0.379,-0.441,0.746
0.387,-0.438,0.746
0.406,-0.449,0.746
0.438,-0.461,0.758
0.461,-0.469,0.781
0.473,-0.465,0.801
0.48,-0.445,0.781
0.512,-0.426,0.773
0.543,-0.449,0.832
0.555,-0.48,0.926
0.531,-0.477,1.031
0.492,-0.434,1.09
0.453,-0.375,1.074
0.426,-0.305,1.027
0.414,-0.262,0.934
0.43,-0.293,0.828
0.469,-0.391,0.77
0.473,-0.516,0.797
0.375,-0.617,0.855
0.199,-0.609,0.941
0.008,-0.488,1.035
-0.137,-0.32,1.066
-0.184,-0.207,1.074
-0.172,-0.199,1.051
-0.102,-0.285,1.004
-0.004,-0.398,0.98
0.102,-0.492,0.977
0.219,-0.547,0.973
0.336,-0.555,0.973
0.418,-0.508,0.977
0.469,-0.438,0.977
0.48,-0.387,0.969
0.461,-0.352,0.953
0.414,-0.336,0.938
0.375,-0.309,0.922
0.352,-0.285,0.902
0.348,-0.273,0.891
0.348,-0.266,0.883
0.34,-0.266,0.875
0.336,-0.277,0.871
0.336,-0.297,0.867
0.348,-0.316,0.855
0.355,-0.34,0.84
0.355,-0.371,0.82
0.348,-0.391,0.797
0.348,-0.402,0.781
0.344,-0.391,0.77
0.336,-0.371,0.758
0.32,-0.371,0.758
0.293,-0.402,0.758
0.266,-0.465,0.758
0.238,-0.531,0.762
0.223,-0.574,0.758
0.219,-0.594,0.773
0.227,-0.59,0.805
0.246,-0.57,0.844
0.258,-0.563,0.879
0.25,-0.57,0.906
0.242,-0.594,0.922
0.223,-0.617,0.945
0.227,-0.613,0.969
0.219,-0.598,0.973
0.219,-0.594,0.953
0.203,-0.59,0.898
0.191,-0.559,0.809
0.195,-0.488,0.734
0.25,-0.422,0.684
0.316,-0.352,0.684
0.383,-0.285,0.734
0.465,-0.242,0.82
0.531,-0.227,0.898
0.578,-0.227,0.988
0.586,-0.258,1.07
0.555,-0.281,1.137
0.484,-0.301,1.176
0.402,-0.309,1.172
0.332,-0.336,1.137
0.316,-0.348,1.102
0.344,-0.34,1.07
0.387,-0.316,1.031
0.422,-0.328,0.992
0.441,-0.332,0.961
0.445,-0.313,0.949
0.43,-0.297,0.961
0.426,-0.273,0.961
0.422,-0.258,0.949
0.418,-0.242,0.93
0.418,-0.246,0.902
0.422,-0.258,0.875
0.422,-0.273,0.848
0.422,-0.293,0.828
0.414,-0.293,0.805
0.41,-0.289,0.777
0.402,-0.285,0.754
0.391,-0.293,0.742
0.391,-0.309,0.738
0.387,-0.332,0.734
0.379,-0.367,0.734
0.375,-0.395,0.734
0.359,-0.414,0.738
0.344,-0.418,0.75
0.328,-0.406,0.754
0.32,-0.395,0.766
0.332,-0.395,0.773
0.336,-0.402,0.77
0.355,-0.41,0.754
0.395,-0.418,0.742
0.441,-0.434,0.742
0.484,-0.465,0.75
0.5,-0.523,0.789
0.496,-0.59,0.859
0.457,-0.621,0.93
0.402,-0.594,0.984
0.375,-0.5,1.031
0.398,-0.402,1.02
0.445,-0.336,0.973
0.477,-0.32,0.891
0.504,-0.371,0.813
0.527,-0.465,0.824
0.48,-0.535,0.863
0.359,-0.52,0.918
0.191,-0.41,0.992
0.016,-0.258,1.051
-0.109,-0.152,1.059
-0.16,-0.105,1.012
-0.133,-0.152,0.965
-0.02,-0.285,0.953
0.109,-0.41,0.961
0.219,-0.488,0.984
0.313,-0.508,1.012
0.395,-0.473,1.027
0.445,-0.418,1.027
0.484,-0.363,1.016
0.496,-0.336,1.008
0.48,-0.328,0.988
0.438,-0.32,0.969
0.387,-0.309,0.949
0.348,-0.305,0.922
0.328,-0.313,0.898
0.32,-0.32,0.875
0.32,-0.313,0.867
0.324,-0.293,0.871
0.328,-0.27,0.887
0.32,-0.266,0.887
0.305,-0.27,0.871
0.289,-0.289,0.852
0.277,-0.305,0.832
0.273,-0.324,0.805
0.27,-0.348,0.793
0.273,-0.371,0.789
0.273,-0.398,0.785
0.285,-0.402,0.789
0.301,-0.414,0.789
0.301,-0.422,0.785
0.262,-0.434,0.781
0.211,-0.441,0.785
0.156,-0.457,0.797
0.121,-0.477,0.816
0.129,-0.508,0.84
0.152,-0.531,0.863
0.199,-0.559,0.895
0.223,-0.578,0.934
0.25,-0.594,0.977
0.281,-0.598,1.0
0.293,-0.602,1.0
0.277,-0.602,0.965
0.277,-0.602,0.914
0.297,-0.578,0.859
0.316,-0.52,0.813
0.313,-0.418,0.789
0.297,-0.301,0.793
0.32,-0.18,0.82
0.371,-0.094,0.844
0.418,-0.066,0.883
0.457,-0.117,0.965
0.5,-0.191,1.07
0.52,-0.266,1.156
0.5,-0.297,1.219
0.461,-0.297,1.242
0.398,-0.289,1.227
0.336,-0.293,1.191
0.281,-0.309,1.133
0.266,-0.309,1.082
0.285,-0.293,1.043
0.34,-0.289,1.008
0.41,-0.309,0.98
0.461,-0.324,0.953
0.488,-0.324,0.938
0.5,-0.305,0.926
0.5,-0.285,0.914
0.488,-0.27,0.902
0.473,-0.262,0.887
0.434,-0.258,0.867
0.395,-0.262,0.848
0.355,-0.262,0.82
0.328,-0.262,0.793
0.316,-0.27,0.781
0.332,-0.285,0.77
0.34,-0.305,0.77
0.355,-0.328,0.781
0.352,-0.352,0.785
0.344,-0.348,0.785
0.348,-0.336,0.777
0.371,-0.324,0.77
0.41,-0.32,0.758
0.441,-0.336,0.754
0.469,-0.367,0.762
0.496,-0.387,0.777
0.523,-0.402,0.777
0.527,-0.41,0.781
0.535,-0.395,0.781
0.535,-0.379,0.777
0.531,-0.379,0.797
0.512,-0.391,0.848
0.457,-0.414,0.895
0.398,-0.426,0.934
0.383,-0.41,0.969
0.43,-0.383,0.992
0.484,-0.355,1.004
0.52,-0.371,0.953
0.535,-0.414,0.875
0.523,-0.488,0.867
0.48,-0.516,0.922
0.383,-0.48,0.98
0.254,-0.406,1.023
0.113,-0.313,1.035
0.004,-0.188,1.027
-0.078,-0.086,0.988
-0.117,-0.074,0.953
-0.109,-0.172,0.918
-0.047,-0.32,0.895
0.039,-0.449,0.895
0.137,-0.504,0.902
0.227,-0.5,0.918
0.293,-0.453,0.945
0.332,-0.41,0.957
0.355,-0.391,0.965
0.367,-0.402,0.965
0.359,-0.41,0.949
0.34,-0.398,0.934
0.309,-0.383,0.918
0.277,-0.363,0.906
0.254,-0.355,0.895
0.25,-0.352,0.887
0.242,-0.355,0.871
0.254,-0.359,0.863
0.273,-0.375,0.863
0.301,-0.383,0.863
0.324,-0.387,0.863
0.34,-0.387,0.859
0.348,-0.379,0.867
0.332,-0.367,0.863
0.316,-0.363,0.859
0.297,-0.355,0.852
0.277,-0.355,0.836
0.258,-0.363,0.82
0.254,-0.375,0.82
0.27,-0.379,0.824
0.297,-0.375,0.844
0.309,-0.379,0.863
0.32,-0.402,0.875
0.305,-0.418,0.871
0.27,-0.426,0.875
0.25,-0.426,0.891
0.238,-0.438,0.914
0.238,-0.453,0.945
0.246,-0.477,0.973
0.258,-0.496,0.992
0.262,-0.516,1.0
0.246,-0.523,1.0
0.223,-0.543,1.0
0.211,-0.57,1.004
0.223,-0.59,1.008
0.258,-0.605,1.0
0.301,-0.594,0.973
0.324,-0.547,0.938
0.336,-0.477,0.898
0.355,-0.395,0.863
0.402,-0.301,0.84
0.438,-0.215,0.82
0.449,-0.141,0.793
0.441,-0.09,0.797
0.426,-0.063,0.813
0.414,-0.07,0.844
0.406,-0.105,0.891
0.418,-0.152,0.941
0.434,-0.191,0.992
0.441,-0.211,1.027
0.438,-0.199,1.055
0.422,-0.195,1.066
0.395,-0.215,1.066
0.363,-0.25,1.066
0.336,-0.281,1.055
0.332,-0.301,1.035
0.348,-0.309,1.02
0.383,-0.313,1.012
0.414,-0.313,0.988
0.434,-0.309,0.973
0.445,-0.293,0.965
0.441,-0.273,0.945
0.43,-0.246,0.938
0.426,-0.227,0.918
0.426,-0.219,0.906
0.422,-0.219,0.891
0.41,-0.23,0.879
0.391,-0.23,0.867
0.383,-0.223,0.859
0.371,-0.211,0.859
0.371,-0.207,0.859
0.367,-0.207,0.859
0.387,-0.223,0.859
0.398,-0.23,0.855
0.414,-0.23,0.852
0.418,-0.234,0.855
0.422,-0.238,0.859
0.434,-0.254,0.883
0.438,-0.281,0.902
0.438,-0.301,0.898
0.434,-0.309,0.895
0.426,-0.316,0.891
0.426,-0.332,0.883
0.438,-0.344,0.891
0.457,-0.34,0.902
