x_acc,y_acc,z_acc
-0.063,-0.504,0.93
-0.035,-0.309,1.047
0.008,-0.207,1.121
0.059,-0.25,1.156
0.086,-0.395,1.168
0.066,-0.563,1.145
0.043,-0.645,1.117
0.066,-0.656,1.109
0.109,-0.633,1.09
0.129,-0.613,1.063
0.125,-0.613,1.027
0.117,-0.605,0.992
0.113,-0.598,0.949
0.109,-0.586,0.906
0.105,-0.574,0.867
0.105,-0.566,0.816
0.105,-0.559,0.77
0.102,-0.535,0.734
0.105,-0.52,0.703
0.109,-0.512,0.676
0.117,-0.504,0.648
0.121,-0.496,0.633
0.117,-0.492,0.625
0.109,-0.492,0.617
0.113,-0.484,0.621
0.117,-0.477,0.633
0.121,-0.473,0.645
0.105,-0.477,0.656
0.086,-0.488,0.68
0.074,-0.492,0.707
0.055,-0.508,0.742
0.055,-0.543,0.785
0.043,-0.578,0.805
0.031,-0.613,0.828
0.027,-0.625,0.863
0.016,-0.629,0.902
0.008,-0.633,0.934
0.004,-0.648,0.945
0.008,-0.676,0.941
0.02,-0.691,0.938
0.031,-0.684,0.93
0.027,-0.699,0.922
0.039,-0.809,0.938
0.113,-0.977,0.938
0.238,-0.945,0.902
0.359,-0.734,0.926
0.414,-0.578,0.988
0.441,-0.496,1.004
0.473,-0.43,1.0
0.453,-0.398,1.008
0.379,-0.398,1.016
0.285,-0.445,1.027
0.199,-0.508,1.004
0.129,-0.555,0.98
0.078,-0.59,0.973
0.051,-0.613,0.98
0.035,-0.621,0.984
0.035,-0.609,0.992
0.063,-0.578,0.992
0.094,-0.539,0.973
0.109,-0.504,0.945
0.105,-0.469,0.91
0.078,-0.441,0.875
0.047,-0.434,0.832
0.027,-0.449,0.793
0.004,-0.461,0.773
-0.004,-0.465,0.75
0.004,-0.461,0.73
0.012,-0.453,0.707
0.016,-0.449,0.699
0.016,-0.457,0.691
0.027,-0.461,0.695
0.031,-0.473,0.691
0.043,-0.477,0.684
0.055,-0.484,0.68
0.078,-0.492,0.68
0.094,-0.5,0.691
0.109,-0.508,0.707
0.117,-0.523,0.727
0.117,-0.551,0.738
0.113,-0.578,0.746
0.152,-0.586,0.789
0.199,-0.566,0.832
0.25,-0.566,0.883
0.285,-0.586,0.918
0.301,-0.621,0.934
0.301,-0.656,0.938
0.289,-0.68,0.91
0.273,-0.684,0.867
0.242,-0.672,0.813
0.211,-0.668,0.766
0.176,-0.738,0.742
0.094,-0.934,0.73
-0.086,-1.152,0.707
-0.211,-1.184,0.746
-0.18,-0.984,0.797
-0.098,-0.688,0.891
-0.039,-0.418,1.0
0.031,-0.254,1.09
0.098,-0.25,1.141
0.133,-0.379,1.172
0.102,-0.555,1.164
0.055,-0.668,1.141
0.051,-0.668,1.133
0.098,-0.59,1.129
0.141,-0.555,1.102
0.152,-0.582,1.051
0.148,-0.617,1.004
0.145,-0.609,0.969
0.125,-0.574,0.93
0.117,-0.547,0.887
0.117,-0.535,0.84
0.105,-0.535,0.785
0.102,-0.531,0.746
0.098,-0.523,0.715
0.102,-0.508,0.688
0.117,-0.496,0.664
0.129,-0.492,0.641
0.141,-0.488,0.629
0.141,-0.488,0.621
0.133,-0.492,0.613
0.121,-0.484,0.621
0.117,-0.477,0.629
0.109,-0.469,0.641
0.105,-0.473,0.66
0.094,-0.492,0.684
0.09,-0.523,0.715
0.082,-0.547,0.734
0.059,-0.559,0.773
0.027,-0.563,0.828
-0.012,-0.563,0.871
-0.023,-0.582,0.918
-0.035,-0.609,0.945
-0.031,-0.637,0.965
-0.012,-0.648,0.965
0.02,-0.648,0.961
0.047,-0.648,0.938
0.063,-0.664,0.906
0.07,-0.723,0.883
0.094,-0.867,0.898
0.156,-1.031,0.887
0.27,-0.965,0.844
0.371,-0.742,0.902
0.406,-0.582,0.969
0.441,-0.473,1.004
0.469,-0.391,1.031
0.453,-0.352,1.063
0.383,-0.371,1.078
0.301,-0.422,1.082
0.23,-0.469,1.063
0.18,-0.52,1.039
0.141,-0.539,1.027
0.109,-0.547,1.023
0.098,-0.543,1.02
0.113,-0.539,1.016
0.133,-0.523,1.004
0.16,-0.492,0.98
0.168,-0.453,0.949
0.145,-0.438,0.918
0.113,-0.426,0.887
0.078,-0.414,0.855
0.047,-0.402,0.836
0.027,-0.398,0.813
0.012,-0.406,0.793
0.02,-0.418,0.773
0.023,-0.426,0.758
0.023,-0.43,0.738
0.031,-0.422,0.723
0.027,-0.422,0.723
0.023,-0.438,0.723
0.035,-0.457,0.707
0.047,-0.477,0.699
0.059,-0.484,0.703
0.074,-0.492,0.711
0.086,-0.512,0.719
0.113,-0.535,0.742
0.145,-0.539,0.766
0.18,-0.523,0.805
0.215,-0.5,0.848
0.238,-0.5,0.883
0.246,-0.531,0.898
0.262,-0.582,0.922
0.273,-0.613,0.934
0.289,-0.625,0.918
0.293,-0.637,0.875
0.27,-0.668,0.82
0.23,-0.777,0.793
0.086,-0.996,0.77
-0.172,-1.156,0.789
-0.293,-1.109,0.852
-0.195,-0.871,0.934
-0.047,-0.566,1.031
0.066,-0.316,1.121
0.125,-0.215,1.172
0.148,-0.313,1.18
0.137,-0.512,1.141
0.105,-0.668,1.094
0.078,-0.703,1.082
0.086,-0.668,1.074
0.105,-0.629,1.047
0.109,-0.633,1.016
0.098,-0.637,0.973
0.082,-0.609,0.938
0.07,-0.566,0.906
0.074,-0.539,0.867
0.09,-0.52,0.824
0.098,-0.512,0.785
0.102,-0.508,0.75
0.105,-0.512,0.707
0.121,-0.5,0.676
0.137,-0.492,0.648
0.145,-0.48,0.629
0.145,-0.477,0.617
0.148,-0.48,0.617
0.148,-0.488,0.621
0.137,-0.488,0.629
0.125,-0.496,0.637
0.113,-0.512,0.645
0.098,-0.523,0.656
0.074,-0.535,0.684
0.063,-0.547,0.707
0.063,-0.551,0.734
0.063,-0.574,0.766
0.063,-0.578,0.813
0.063,-0.582,0.852
0.051,-0.586,0.883
