,0.066,-0.77,0.664
707,-0.059,-0.613,0.895
708,-0.02,-0.715,0.93
709,-0.016,-0.82,0.941
710,-0.016,-0.871,0.953
711,0.0,-0.859,0.957
712,0.016,-0.816,0.961
713,0.023,-0.781,0.941
714,0.02,-0.762,0.906
715,0.012,-0.75,0.859
716,-0.012,-0.738,0.816
717,-0.02,-0.738,0.789
718,-0.016,-0.734,0.746
719,0.008,-0.723,0.711
720,0.027,-0.703,0.684
721,0.027,-0.68,0.66
722,0.027,-0.664,0.637
723,0.031,-0.641,0.613
724,0.031,-0.625,0.605
725,0.035,-0.609,0.609
726,0.043,-0.621,0.605
727,0.035,-0.645,0.59
728,0.027,-0.68,0.586
729,0.023,-0.703,0.582
730,0.016,-0.723,0.59
731,0.008,-0.742,0.605
732,0.008,-0.754,0.629
733,-0.004,-0.766,0.645
734,-0.016,-0.777,0.652
735,-0.023,-0.793,0.664
736,-0.027,-0.813,0.664
737,-0.043,-0.824,0.672
738,-0.051,-0.832,0.672
739,-0.047,-0.84,0.668
740,-0.043,-0.82,0.668
741,-0.043,-0.797,0.668
742,-0.047,-0.781,0.664
743,-0.051,-0.773,0.664
744,-0.043,-0.762,0.664
745,-0.031,-0.754,0.66
746,-0.027,-0.754,0.656
747,-0.027,-0.754,0.652
748,-0.039,-0.734,0.637
749,-0.055,-0.707,0.641
750,-0.059,-0.719,0.633
751,-0.047,-0.719,0.633
752,-0.051,-0.727,0.633
753,-0.059,-0.73,0.633
754,-0.066,-0.727,0.633
755,-0.074,-0.754,0.629
756,-0.063,-0.855,0.633
757,-0.008,-1.008,0.637
758,0.117,-1.07,0.629
759,0.238,-0.992,0.641
760,0.242,-0.871,0.688
761,0.184,-0.773,0.742
762,0.145,-0.699,0.785
763,0.145,-0.676,0.82
764,0.16,-0.738,0.844
765,0.199,-0.785,0.871
766,0.246,-0.781,0.914
767,0.285,-0.758,0.941
768,0.297,-0.742,0.93
769,0.285,-0.703,0.914
770,0.262,-0.672,0.887
771,0.242,-0.656,0.855
772,0.207,-0.656,0.816
773,0.164,-0.664,0.777
774,0.133,-0.684,0.734
775,0.109,-0.691,0.707
776,0.109,-0.703,0.68
777,0.113,-0.723,0.66
778,0.145,-0.73,0.656
779,0.168,-0.73,0.652
780,0.188,-0.727,0.641
781,0.195,-0.734,0.637
782,0.188,-0.738,0.625
783,0.188,-0.738,0.617
784,0.176,-0.73,0.617
785,0.16,-0.703,0.617
786,0.145,-0.68,0.629
787,0.141,-0.688,0.637
788,0.148,-0.699,0.637
789,0.156,-0.715,0.633
790,0.16,-0.727,0.629
791,0.16,-0.727,0.629
792,0.16,-0.715,0.621
793,0.168,-0.691,0.617
794,0.176,-0.664,0.613
795,0.176,-0.629,0.613
796,0.191,-0.613,0.625
797,0.203,-0.629,0.625
798,0.223,-0.66,0.633
799,0.238,-0.688,0.629
800,0.227,-0.699,0.637
801,0.215,-0.688,0.648
802,0.195,-0.668,0.668
803,0.18,-0.66,0.684
804,0.176,-0.668,0.676
805,0.176,-0.688,0.652
806,0.184,-0.707,0.621
807,0.18,-0.789,0.582
808,0.109,-0.957,0.527
