-0.02,-0.902,0.438
-0.02,-0.91,0.434
-0.02,-0.91,0.43
-0.023,-0.902,0.43
-0.023,-0.902,0.43
-0.023,-0.902,0.43
-0.02,-0.906,0.43
-0.02,-0.906,0.426
-0.016,-0.902,0.426
-0.02,-0.902,0.43
-0.02,-0.91,0.43
-0.02,-0.91,0.43
-0.02,-0.914,0.43
-0.02,-0.906,0.43
-0.016,-0.91,0.43
-0.023,-0.914,0.426
-0.02,-0.918,0.43
-0.016,-0.914,0.422
-0.016,-0.91,0.422
-0.023,-0.91,0.418
-0.023,-0.902,0.418
-0.02,-0.906,0.422
-0.02,-0.906,0.418
-0.02,-0.902,0.418
-0.016,-0.898,0.422
-0.016,-0.902,0.426
-0.023,-0.906,0.422
-0.02,-0.898,0.414
-0.02,-0.902,0.422
-0.02,-0.91,0.422
-0.02,-0.91,0.426
-0.02,-0.906,0.426
-0.016,-0.91,0.422
-0.016,-0.906,0.422
-0.016,-0.914,0.426
-0.016,-0.914,0.422
-0.016,-0.914,0.426
-0.016,-0.918,0.43
-0.016,-0.918,0.43
-0.02,-0.922,0.422
-0.027,-0.918,0.422
-0.023,-0.914,0.422
-0.023,-0.906,0.418
-0.023,-0.91,0.418
-0.027,-0.918,0.418
-0.031,-0.914,0.418
-0.035,-0.914,0.418
-0.027,-0.91,0.418
-0.023,-0.906,0.422
-0.02,-0.906,0.422
-0.02,-0.91,0.426
-0.016,-0.914,0.418
-0.02,-0.922,0.414
-0.023,-0.918,0.418
-0.023,-0.914,0.422
-0.023,-0.918,0.422
-0.023,-0.914,0.422
-0.027,-0.918,0.414
-0.027,-0.918,0.414
-0.023,-0.918,0.418
-0.023,-0.914,0.414
-0.023,-0.91,0.418
-0.02,-0.906,0.418
-0.023,-0.906,0.418
-0.02,-0.906,0.414
-0.031,-0.906,0.414
-0.027,-0.906,0.426
-0.027,-0.906,0.426
-0.023,-0.906,0.414
-0.023,-0.91,0.422
-0.023,-0.918,0.418
-0.023,-0.918,0.422
-0.02,-0.918,0.418
-0.023,-0.918,0.418
-0.02,-0.918,0.422
-0.023,-0.914,0.418
-0.02,-0.914,0.414
-0.02,-0.914,0.414
-0.016,-0.902,0.418
-0.016,-0.906,0.418
-0.02,-0.91,0.422
-0.027,-0.91,0.422
-0.02,-0.91,0.418
-0.02,-0.914,0.418
-0.02,-0.914,0.418
-0.02,-0.922,0.418
-0.02,-0.918,0.418
-0.023,-0.918,0.418
-0.023,-0.918,0.418
-0.023,-0.918,0.414
-0.027,-0.922,0.418
-0.02,-0.922,0.418
-0.02,-0.922,0.418
-0.02,-0.918,0.418
-0.027,-0.918,0.422
-0.023,-0.91,0.418
-0.023,-0.91,0.418
-0.023,-0.91,0.418
-0.027,-0.906,0.422
-0.023,-0.906,0.422
-0.023,-0.914,0.418
-0.023,-0.914,0.418
-0.023,-0.914,0.418
-0.023,-0.91,0.418
-0.02,-0.91,0.418
-0.023,-0.906,0.418
-0.02,-0.906,0.414
-0.023,-0.91,0.418
-0.023,-0.914,0.418
-0.027,-0.914,0.418
-0.027,-0.91,0.426
-0.027,-0.914,0.418
-0.031,-0.914,0.422
-0.031,-0.918,0.426
-0.027,-0.918,0.418
-0.035,-0.914,0.41
-0.027,-0.914,0.422
-0.027,-0.91,0.418
-0.027,-0.906,0.418
-0.027,-0.906,0.426
-0.027,-0.91,0.422
-0.027,-0.914,0.422
-0.023,-0.91,0.426
-0.027,-0.91,0.426
-0.027,-0.91,0.426
-0.031,-0.91,0.422
-0.031,-0.906,0.418
-0.031,-0.914,0.422
-0.035,-0.918,0.418
-0.031,-0.914,0.426
-0.027,-0.906,0.426
-0.027,-0.906,0.426
-0.027,-0.902,0.426
-0.027,-0.906,0.422
-0.031,-0.902,0.422
-0.031,-0.902,0.426
-0.027,-0.902,0.426
-0.027,-0.906,0.43
-0.027,-0.906,0.426
-0.02,-0.906,0.426
-0.023,-0.91,0.426
-0.027,-0.914,0.426
-0.027,-0.906,0.43
-0.027,-0.91,0.426
-0.027,-0.906,0.43
-0.023,-0.91,0.43
-0.023,-0.906,0.43
-0.027,-0.902,0.43
-0.023,-0.895,0.43
-0.027,-0.898,0.43
-0.027,-0.902,0.43
-0.023,-0.895,0.43
-0.023,-0.898,0.43
-0.023,-0.898,0.43
-0.02,-0.898,0.426
-0.023,-0.895,0.426
-0.027,-0.902,0.43
-0.027,-0.902,0.426
-0.023,-0.91,0.426
-0.023,-0.914,0.43
-0.031,-0.914,0.434
-0.023,-0.91,0.434
-0.023,-0.906,0.43
-0.027,-0.914,0.43
-0.023,-0.918,0.43
-0.031,-0.914,0.43
-0.023,-0.91,0.43
-0.02,-0.91,0.426
-0.023,-0.91,0.426
-0.023,-0.914,0.43
-0.023,-0.906,0.426
-0.023,-0.902,0.426
-0.023,-0.902,0.43
-0.027,-0.906,0.426
-0.023,-0.91,0.43
-0.02,-0.91,0.43
-0.02,-0.91,0.43
-0.02,-0.906,0.43
-0.02,-0.91,0.43
-0.02,-0.906,0.426
-0.02,-0.91,0.426
-0.02,-0.91,0.426
