x_acc,y_acc,z_acc
0.094,-0.578,0.547
0.094,-0.574,0.543
0.094,-0.578,0.543
0.094,-0.578,0.543
0.102,-0.566,0.535
0.102,-0.566,0.535
0.102,-0.566,0.531
0.102,-0.574,0.535
0.109,-0.582,0.539
0.117,-0.605,0.543
0.117,-0.621,0.547
0.113,-0.641,0.555
0.113,-0.652,0.563
0.109,-0.664,0.574
0.109,-0.68,0.594
0.105,-0.707,0.613
0.113,-0.73,0.625
0.133,-0.754,0.645
0.156,-0.762,0.648
0.172,-0.754,0.66
0.18,-0.742,0.691
0.188,-0.738,0.734
0.195,-0.777,0.766
0.195,-0.813,0.773
0.172,-0.82,0.77
0.129,-0.77,0.781
0.102,-0.715,0.813
0.094,-0.699,0.836
0.113,-0.75,0.887
0.184,-0.867,0.969
0.289,-1.039,1.023
0.391,-1.184,1.043
0.441,-1.199,1.023
0.441,-1.086,0.988
0.434,-0.914,0.941
0.422,-0.75,0.898
0.395,-0.629,0.898
0.363,-0.574,0.91
0.332,-0.57,0.918
0.316,-0.613,0.922
0.316,-0.699,0.922
0.324,-0.773,0.922
0.336,-0.773,0.906
0.34,-0.715,0.887
0.336,-0.633,0.871
0.324,-0.543,0.859
0.313,-0.48,0.832
0.301,-0.457,0.797
0.305,-0.465,0.758
0.297,-0.473,0.707
0.285,-0.488,0.664
0.285,-0.496,0.629
0.289,-0.492,0.59
0.289,-0.496,0.559
0.289,-0.5,0.535
0.289,-0.492,0.516
0.285,-0.484,0.504
0.273,-0.48,0.496
0.258,-0.477,0.5
0.246,-0.477,0.504
0.246,-0.484,0.516
0.246,-0.504,0.523
0.25,-0.512,0.527
0.262,-0.523,0.527
0.277,-0.531,0.531
0.281,-0.547,0.539
0.297,-0.559,0.547
0.301,-0.57,0.555
0.309,-0.59,0.57
0.313,-0.613,0.57
0.313,-0.625,0.57
0.309,-0.629,0.566
0.305,-0.625,0.566
0.301,-0.621,0.582
0.309,-0.621,0.594
0.305,-0.629,0.609
0.309,-0.648,0.625
0.297,-0.672,0.648
0.285,-0.695,0.672
0.273,-0.711,0.695
0.27,-0.734,0.723
0.266,-0.75,0.742
0.27,-0.75,0.738
0.281,-0.727,0.75
0.301,-0.691,0.77
0.34,-0.684,0.801
0.375,-0.727,0.828
0.387,-0.801,0.836
0.363,-0.875,0.855
0.332,-0.93,0.895
0.313,-0.988,0.941
0.293,-1.051,0.926
0.266,-1.063,0.867
0.215,-1.0,0.809
0.164,-0.875,0.75
0.133,-0.762,0.734
0.121,-0.703,0.742
0.145,-0.711,0.754
0.172,-0.766,0.758
0.195,-0.832,0.777
0.191,-0.875,0.793
0.172,-0.871,0.813
0.137,-0.844,0.82
0.098,-0.801,0.824
0.066,-0.777,0.832
0.051,-0.762,0.832
0.051,-0.75,0.813
0.063,-0.727,0.785
0.09,-0.691,0.742
0.105,-0.664,0.703
0.113,-0.637,0.66
0.105,-0.625,0.625
0.098,-0.629,0.594
0.094,-0.629,0.566
0.09,-0.625,0.539
0.078,-0.629,0.512
0.066,-0.629,0.504
0.055,-0.629,0.496
0.051,-0.625,0.484
0.059,-0.605,0.477
0.063,-0.586,0.473
0.063,-0.574,0.488
0.074,-0.578,0.496
0.082,-0.59,0.512
0.09,-0.602,0.527
0.086,-0.609,0.531
0.094,-0.605,0.539
0.098,-0.609,0.543
0.094,-0.605,0.551
0.094,-0.609,0.559
0.094,-0.617,0.566
0.094,-0.633,0.57
0.098,-0.648,0.578
0.102,-0.652,0.582
0.113,-0.66,0.59
0.125,-0.664,0.609
0.141,-0.672,0.629
0.164,-0.695,0.645
0.176,-0.727,0.652
0.188,-0.75,0.672
0.199,-0.766,0.707
0.211,-0.789,0.75
0.219,-0.816,0.766
0.215,-0.828,0.777
0.191,-0.805,0.781
0.168,-0.758,0.785
0.148,-0.723,0.793
0.145,-0.715,0.824
0.16,-0.754,0.844
0.191,-0.836,0.902
0.25,-0.953,0.965
0.32,-1.098,1.004
0.387,-1.207,0.984
0.441,-1.207,0.934
0.461,-1.086,0.875
0.465,-0.934,0.801
0.453,-0.793,0.766
0.418,-0.684,0.777
0.391,-0.625,0.781
0.363,-0.629,0.781
0.348,-0.688,0.781
0.344,-0.77,0.773
0.34,-0.824,0.781
0.336,-0.82,0.789
0.336,-0.75,0.777
0.32,-0.668,0.781
0.293,-0.582,0.785
0.266,-0.527,0.773
0.25,-0.508,0.754
0.23,-0.516,0.719
0.223,-0.539,0.672
0.234,-0.555,0.637
0.246,-0.566,0.609
0.266,-0.57,0.594
0.289,-0.574,0.574
0.293,-0.57,0.555
0.305,-0.566,0.543
0.301,-0.566,0.523
0.289,-0.555,0.52
0.281,-0.547,0.52
0.277,-0.539,0.52
0.27,-0.539,0.523
0.258,-0.535,0.516
0.25,-0.527,0.512
0.25,-0.531,0.523
0.258,-0.547,0.523
0.258,-0.559,0.531
0.266,-0.578,0.535
0.281,-0.594,0.539
0.277,-0.609,0.547
0.277,-0.625,0.547
0.277,-0.633,0.539
0.273,-0.625,0.539
0.273,-0.617,0.547
0.273,-0.617,0.566
0.281,-0.633,0.582
0.293,-0.652,0.59
0.289,-0.684,0.609
0.277,-0.707,0.641
0.27,-0.734,0.672
0.258,-0.758,0.703
0.246,-0.785,0.73
0.25,-0.793,0.742
0.262,-0.762,0.762
0.281,-0.727,0.781
0.309,-0.703,0.813
0.344,-0.727,0.84
0.359,-0.793,0.848
0.348,-0.867,0.855
0.316,-0.938,0.887
0.293,-1.004,0.918
0.277,-1.07,0.91
0.258,-1.094,0.855
0.227,-1.055,0.785
0.184,-0.969,0.73
0.16,-0.863,0.695
0.16,-0.785,0.695
0.188,-0.762,0.707
0.223,-0.773,0.703
0.254,-0.813,0.703
0.266,-0.836,0.727
0.246,-0.832,0.746
0.211,-0.813,0.758
0.168,-0.789,0.766
0.125,-0.77,0.773
0.094,-0.746,0.781
0.098,-0.727,0.781
0.102,-0.695,0.75
0.113,-0.664,0.727
0.125,-0.637,0.695
0.133,-0.617,0.668
0.129,-0.605,0.641
0.129,-0.613,0.613
0.121,-0.625,0.586
0.117,-0.629,0.57
0.113,-0.633,0.551
0.105,-0.633,0.535
0.086,-0.629,0.516
0.078,-0.613,0.508
0.07,-0.59,0.504
0.066,-0.574,0.504
0.07,-0.563,0.508
0.074,-0.559,0.516
0.082,-0.563,0.527
0.086,-0.566,0.535
0.098,-0.582,0.543
0.105,-0.594,0.547
0.102,-0.602,0.551
0.098,-0.609,0.551
0.09,-0.621,0.551
0.09,-0.625,0.555
0.09,-0.629,0.563
0.09,-0.629,0.578
0.098,-0.637,0.59
0.102,-0.656,0.613
0.109,-0.672,0.625
