x_acc,y_acc,z_acc
0.02,-0.953,0.965
0.012,-1.004,0.941
-0.039,-0.977,0.906
-0.063,-0.879,0.871
-0.051,-0.77,0.844
-0.012,-0.699,0.813
0.02,-0.664,0.781
0.035,-0.656,0.77
0.031,-0.664,0.766
0.023,-0.672,0.766
0.008,-0.664,0.77
-0.004,-0.645,0.773
-0.016,-0.621,0.77
-0.031,-0.598,0.773
-0.051,-0.59,0.77
-0.066,-0.586,0.762
-0.086,-0.594,0.738
-0.09,-0.598,0.715
-0.086,-0.598,0.699
-0.078,-0.598,0.68
-0.066,-0.594,0.652
-0.055,-0.594,0.637
-0.047,-0.598,0.625
-0.047,-0.598,0.613
-0.055,-0.602,0.605
-0.063,-0.613,0.605
-0.066,-0.625,0.609
-0.063,-0.633,0.613
-0.063,-0.637,0.621
-0.047,-0.637,0.629
-0.043,-0.637,0.633
-0.043,-0.637,0.645
-0.043,-0.637,0.656
-0.043,-0.645,0.66
-0.051,-0.66,0.664
-0.063,-0.68,0.664
-0.082,-0.691,0.656
-0.094,-0.695,0.641
-0.102,-0.684,0.633
-0.113,-0.676,0.621
-0.113,-0.68,0.625
-0.113,-0.703,0.629
-0.105,-0.727,0.645
-0.098,-0.746,0.652
-0.082,-0.758,0.672
-0.074,-0.773,0.695
-0.066,-0.781,0.727
-0.059,-0.777,0.75
-0.059,-0.77,0.758
-0.063,-0.75,0.77
-0.074,-0.73,0.777
-0.07,-0.711,0.781
-0.066,-0.688,0.777
-0.066,-0.688,0.797
-0.066,-0.738,0.84
-0.047,-0.848,0.891
-0.039,-0.945,0.914
-0.02,-0.969,0.957
0.02,-0.969,1.023
0.07,-1.008,1.051
0.117,-1.016,1.027
0.145,-0.938,0.98
0.18,-0.813,0.934
0.219,-0.727,0.879
0.246,-0.688,0.844
0.246,-0.688,0.824
0.246,-0.707,0.828
0.227,-0.734,0.828
0.203,-0.73,0.82
0.18,-0.699,0.813
0.164,-0.652,0.801
0.152,-0.613,0.797
0.145,-0.578,0.789
0.137,-0.566,0.773
0.133,-0.551,0.746
0.113,-0.543,0.719
0.102,-0.531,0.699
0.094,-0.52,0.672
0.09,-0.508,0.652
0.082,-0.508,0.633
0.074,-0.512,0.613
0.07,-0.523,0.605
0.066,-0.543,0.602
0.07,-0.555,0.602
0.07,-0.563,0.613
0.07,-0.578,0.629
0.078,-0.586,0.641
0.086,-0.594,0.656
0.09,-0.598,0.664
0.094,-0.598,0.672
0.098,-0.598,0.68
0.105,-0.598,0.688
0.113,-0.602,0.684
0.109,-0.602,0.676
0.109,-0.609,0.672
0.109,-0.605,0.668
0.109,-0.602,0.652
0.121,-0.594,0.637
0.137,-0.586,0.633
0.148,-0.582,0.633
0.141,-0.582,0.633
0.129,-0.59,0.656
0.105,-0.598,0.66
0.082,-0.605,0.668
0.07,-0.625,0.676
0.063,-0.652,0.68
0.066,-0.68,0.688
0.078,-0.707,0.707
0.074,-0.723,0.73
0.066,-0.727,0.762
0.066,-0.719,0.813
0.07,-0.727,0.859
0.082,-0.762,0.93
0.086,-0.852,0.996
0.043,-0.957,1.035
-0.039,-1.02,1.086
-0.094,-1.051,1.129
-0.117,-1.074,1.102
-0.152,-1.023,1.02
-0.16,-0.875,0.945
-0.125,-0.746,0.887
-0.074,-0.691,0.84
-0.027,-0.691,0.793
-0.004,-0.695,0.758
0.0,-0.715,0.742
-0.023,-0.738,0.742
-0.059,-0.754,0.746
-0.098,-0.746,0.738
-0.113,-0.727,0.73
-0.109,-0.688,0.742
-0.098,-0.656,0.754
-0.078,-0.637,0.762
-0.063,-0.617,0.762
-0.055,-0.605,0.746
-0.047,-0.586,0.734
-0.035,-0.559,0.707
-0.02,-0.543,0.688
-0.016,-0.539,0.668
-0.016,-0.539,0.648
-0.012,-0.543,0.637
-0.023,-0.551,0.617
-0.039,-0.563,0.605
-0.055,-0.57,0.594
-0.063,-0.578,0.598
-0.07,-0.59,0.594
-0.07,-0.598,0.59
-0.07,-0.605,0.59
-0.066,-0.613,0.586
-0.07,-0.621,0.594
-0.07,-0.629,0.598
-0.082,-0.633,0.598
-0.082,-0.637,0.609
-0.09,-0.637,0.613
-0.098,-0.633,0.625
-0.102,-0.637,0.641
-0.109,-0.648,0.656
-0.121,-0.672,0.672
-0.129,-0.688,0.68
