x_acc,y_acc,z_acc
0.004,-0.77,0.633
0.0,-0.77,0.629
-0.004,-0.77,0.617
-0.004,-0.773,0.617
-0.004,-0.777,0.617
-0.008,-0.777,0.617
-0.016,-0.781,0.625
-0.012,-0.793,0.641
-0.012,-0.797,0.637
-0.004,-0.793,0.645
-0.008,-0.793,0.645
-0.004,-0.797,0.645
0.0,-0.805,0.645
0.0,-0.805,0.637
0.004,-0.813,0.633
0.012,-0.809,0.625
0.012,-0.801,0.617
0.012,-0.797,0.613
0.004,-0.793,0.605
0.0,-0.797,0.602
0.0,-0.797,0.602
0.004,-0.801,0.602
0.008,-0.801,0.605
0.004,-0.789,0.609
0.008,-0.77,0.625
0.012,-0.754,0.645
0.02,-0.746,0.652
0.027,-0.746,0.66
0.035,-0.742,0.676
0.043,-0.738,0.684
0.047,-0.734,0.684
0.043,-0.738,0.691
0.035,-0.754,0.688
0.023,-0.766,0.688
0.012,-0.777,0.688
0.0,-0.781,0.68
-0.012,-0.781,0.672
-0.023,-0.785,0.652
-0.027,-0.789,0.645
-0.039,-0.797,0.629
-0.051,-0.797,0.621
-0.051,-0.793,0.613
-0.059,-0.789,0.609
-0.063,-0.789,0.605
-0.055,-0.781,0.605
-0.051,-0.77,0.602
-0.031,-0.754,0.602
-0.016,-0.742,0.602
0.0,-0.738,0.605
0.012,-0.738,0.605
0.027,-0.75,0.602
0.039,-0.754,0.602
0.047,-0.762,0.621
0.059,-0.77,0.637
0.063,-0.797,0.652
0.07,-0.816,0.66
0.066,-0.84,0.668
0.074,-0.867,0.672
0.066,-0.887,0.656
0.047,-0.875,0.645
0.027,-0.848,0.637
0.02,-0.844,0.621
0.023,-0.848,0.609
0.027,-0.852,0.598
0.027,-0.84,0.578
0.031,-0.813,0.566
0.035,-0.789,0.547
0.043,-0.777,0.535
0.043,-0.77,0.52
0.051,-0.762,0.516
0.055,-0.766,0.516
0.066,-0.766,0.52
0.07,-0.766,0.516
0.082,-0.762,0.516
0.09,-0.77,0.516
0.094,-0.777,0.512
0.094,-0.789,0.516
0.094,-0.793,0.516
0.094,-0.805,0.52
0.082,-0.816,0.52
0.078,-0.824,0.527
0.066,-0.828,0.527
0.063,-0.828,0.527
0.059,-0.828,0.527
0.055,-0.828,0.543
0.059,-0.832,0.559
0.059,-0.848,0.578
0.059,-0.859,0.602
0.055,-0.859,0.617
0.055,-0.859,0.641
0.059,-0.867,0.656
0.063,-0.883,0.668
0.086,-0.906,0.672
0.102,-0.918,0.668
0.125,-0.926,0.668
0.141,-0.926,0.668
0.152,-0.926,0.668
0.16,-0.93,0.664
0.152,-0.938,0.668
0.148,-1.004,0.676
0.109,-1.098,0.68
0.039,-1.121,0.711
-0.027,-1.051,0.746
-0.051,-0.934,0.785
-0.035,-0.855,0.816
-0.02,-0.832,0.855
-0.016,-0.805,0.891
