x_acc,y_acc,z_acc
-0.098,-0.855,0.543
-0.09,-0.848,0.543
-0.078,-0.836,0.539
-0.07,-0.824,0.535
-0.059,-0.816,0.535
-0.047,-0.813,0.543
-0.035,-0.813,0.547
-0.023,-0.82,0.555
-0.02,-0.828,0.563
-0.016,-0.848,0.574
-0.02,-0.859,0.59
-0.02,-0.848,0.605
-0.023,-0.84,0.613
-0.027,-0.84,0.617
-0.02,-0.828,0.625
-0.016,-0.828,0.625
-0.016,-0.828,0.621
-0.02,-0.828,0.621
-0.027,-0.832,0.613
-0.031,-0.824,0.605
-0.035,-0.816,0.602
-0.039,-0.805,0.594
-0.035,-0.813,0.59
-0.035,-0.816,0.582
-0.031,-0.809,0.578
-0.031,-0.801,0.582
-0.027,-0.793,0.594
-0.016,-0.789,0.598
-0.02,-0.785,0.598
-0.016,-0.777,0.602
-0.023,-0.773,0.613
-0.023,-0.77,0.617
-0.02,-0.766,0.621
-0.016,-0.77,0.625
-0.023,-0.77,0.617
-0.016,-0.781,0.629
-0.012,-0.777,0.621
-0.012,-0.781,0.621
-0.012,-0.773,0.625
-0.008,-0.77,0.629
0.004,-0.77,0.625
0.004,-0.773,0.617
0.004,-0.785,0.617
0.008,-0.789,0.617
0.012,-0.777,0.625
0.012,-0.762,0.633
0.016,-0.746,0.645
0.016,-0.746,0.645
0.012,-0.75,0.645
0.012,-0.758,0.645
0.012,-0.762,0.641
0.008,-0.762,0.637
0.004,-0.758,0.637
0.004,-0.766,0.637
0.008,-0.773,0.645
0.004,-0.781,0.648
0.008,-0.793,0.652
0.008,-0.801,0.648
0.012,-0.809,0.652
0.012,-0.82,0.656
0.008,-0.824,0.652
0.004,-0.836,0.645
0.0,-0.84,0.637
-0.004,-0.848,0.633
0.0,-0.844,0.641
0.0,-0.855,0.648
0.008,-0.867,0.656
0.008,-0.871,0.664
0.012,-0.871,0.684
-0.004,-0.859,0.699
-0.02,-0.848,0.715
-0.043,-0.824,0.723
-0.07,-0.801,0.738
-0.086,-0.789,0.75
-0.105,-0.801,0.762
-0.129,-0.82,0.785
-0.156,-0.84,0.809
-0.184,-0.852,0.832
-0.211,-0.844,0.84
-0.238,-0.805,0.836
-0.246,-0.746,0.824
-0.238,-0.707,0.805
-0.211,-0.688,0.785
-0.18,-0.676,0.766
-0.176,-0.668,0.75
-0.172,-0.656,0.746
-0.172,-0.652,0.738
-0.176,-0.648,0.742
-0.176,-0.66,0.75
-0.18,-0.66,0.746
-0.184,-0.672,0.746
-0.191,-0.703,0.754
-0.191,-0.73,0.758
-0.184,-0.758,0.754
-0.164,-0.781,0.746
-0.137,-0.785,0.734
-0.113,-0.781,0.719
-0.102,-0.758,0.699
-0.102,-0.727,0.68
-0.113,-0.707,0.664
-0.121,-0.691,0.641
-0.125,-0.695,0.613
-0.125,-0.703,0.594
-0.125,-0.703,0.566
-0.125,-0.699,0.547
-0.117,-0.688,0.527
-0.105,-0.688,0.523
-0.102,-0.695,0.527
-0.102,-0.699,0.527
-0.098,-0.695,0.516
-0.098,-0.688,0.504
-0.102,-0.691,0.5
-0.121,-0.715,0.508
-0.141,-0.734,0.52
-0.164,-0.742,0.539
-0.172,-0.738,0.559
-0.164,-0.73,0.574
-0.156,-0.723,0.574
-0.141,-0.723,0.582
-0.141,-0.723,0.59
-0.152,-0.719,0.613
-0.168,-0.719,0.637
-0.184,-0.719,0.672
-0.188,-0.719,0.695
-0.184,-0.715,0.711
-0.176,-0.719,0.73
-0.164,-0.754,0.734
-0.141,-0.805,0.73
-0.129,-0.84,0.711
-0.125,-0.867,0.688
-0.133,-0.883,0.676
-0.156,-0.926,0.699
-0.176,-1.004,0.742
-0.172,-1.086,0.785
-0.129,-1.125,0.797
-0.055,-1.082,0.801
-0.012,-1.027,0.805
-0.012,-1.008,0.809
-0.031,-1.008,0.793
-0.055,-0.988,0.746
-0.078,-0.949,0.695
-0.086,-0.887,0.645
-0.078,-0.82,0.594
-0.055,-0.766,0.559
-0.031,-0.734,0.543
-0.012,-0.73,0.539
0.004,-0.738,0.555
0.02,-0.75,0.574
0.027,-0.754,0.605
0.043,-0.758,0.641
0.055,-0.766,0.672
0.059,-0.77,0.699
0.063,-0.766,0.723
0.055,-0.754,0.723
0.047,-0.734,0.699
0.039,-0.711,0.664
0.023,-0.688,0.617
0.008,-0.684,0.582
-0.004,-0.691,0.555
-0.012,-0.707,0.535
-0.008,-0.719,0.52
-0.004,-0.723,0.512
0.008,-0.711,0.523
0.02,-0.691,0.535
0.031,-0.668,0.543
0.043,-0.652,0.547
0.043,-0.652,0.551
0.039,-0.664,0.551
0.031,-0.688,0.547
0.027,-0.699,0.547
0.027,-0.711,0.543
0.031,-0.707,0.551
0.031,-0.699,0.559
0.035,-0.699,0.563
0.047,-0.707,0.574
0.051,-0.73,0.598
0.055,-0.746,0.617
0.059,-0.77,0.641
0.066,-0.785,0.656
0.074,-0.816,0.664
0.074,-0.855,0.664
0.063,-0.891,0.676
0.039,-0.914,0.695
0.012,-0.922,0.727
-0.004,-0.906,0.746
0.008,-0.891,0.781
0.031,-0.875,0.801
0.059,-0.844,0.797
0.078,-0.809,0.793
0.094,-0.773,0.789
0.094,-0.75,0.773
0.082,-0.754,0.754
0.07,-0.797,0.758
0.051,-0.871,0.758
0.012,-0.93,0.754
-0.039,-0.93,0.762
-0.102,-0.895,0.797
-0.16,-0.859,0.852
-0.207,-0.828,0.922
-0.246,-0.801,0.973
-0.266,-0.75,0.996
-0.258,-0.68,0.988
-0.23,-0.609,0.965
-0.188,-0.559,0.941
-0.156,-0.551,0.898
-0.137,-0.586,0.852
-0.125,-0.648,0.801
-0.105,-0.711,0.75
-0.082,-0.754,0.711
-0.055,-0.762,0.676
-0.035,-0.738,0.645
-0.027,-0.699,0.621
-0.043,-0.672,0.598
-0.07,-0.668,0.578
-0.102,-0.672,0.563
