x_acc,y_acc,z_acc
0.066,-0.813,0.66
0.063,-0.824,0.648
0.059,-0.828,0.648
0.059,-0.828,0.637
0.047,-0.828,0.621
0.055,-0.836,0.625
0.059,-0.848,0.617
0.066,-0.859,0.613
0.066,-0.855,0.602
0.07,-0.84,0.598
0.078,-0.828,0.602
0.09,-0.824,0.617
0.102,-0.824,0.617
0.113,-0.813,0.621
0.125,-0.801,0.629
0.121,-0.785,0.637
0.125,-0.77,0.645
0.129,-0.77,0.648
0.129,-0.77,0.645
0.133,-0.758,0.648
0.141,-0.75,0.66
0.141,-0.746,0.664
0.145,-0.742,0.668
0.141,-0.734,0.672
0.148,-0.727,0.676
0.152,-0.723,0.672
0.156,-0.723,0.68
0.152,-0.723,0.68
0.152,-0.727,0.684
0.152,-0.73,0.688
0.148,-0.738,0.684
0.148,-0.742,0.684
0.145,-0.746,0.68
0.137,-0.754,0.68
0.137,-0.762,0.684
0.129,-0.773,0.68
0.121,-0.777,0.68
0.109,-0.777,0.68
0.105,-0.785,0.68
0.098,-0.793,0.676
0.09,-0.797,0.668
0.082,-0.789,0.664
0.078,-0.773,0.656
0.082,-0.742,0.645
0.07,-0.703,0.645
0.066,-0.664,0.645
0.059,-0.629,0.652
0.051,-0.609,0.676
0.035,-0.613,0.719
0.012,-0.645,0.754
-0.02,-0.684,0.77
-0.051,-0.719,0.777
-0.066,-0.742,0.781
-0.07,-0.762,0.797
-0.066,-0.75,0.813
-0.035,-0.738,0.836
-0.023,-0.723,0.844
-0.016,-0.719,0.844
-0.023,-0.723,0.828
-0.027,-0.715,0.813
-0.027,-0.707,0.785
-0.02,-0.707,0.754
-0.02,-0.707,0.73
-0.02,-0.703,0.711
-0.016,-0.703,0.695
-0.023,-0.695,0.684
-0.031,-0.691,0.676
-0.035,-0.688,0.676
-0.043,-0.695,0.68
-0.043,-0.695,0.68
-0.043,-0.691,0.684
-0.047,-0.688,0.684
-0.047,-0.688,0.684
-0.051,-0.691,0.688
-0.051,-0.684,0.688
-0.055,-0.684,0.684
-0.059,-0.68,0.684
-0.063,-0.688,0.684
-0.063,-0.699,0.676
-0.066,-0.699,0.668
-0.063,-0.703,0.664
-0.059,-0.711,0.66
-0.059,-0.707,0.656
-0.059,-0.719,0.652
-0.063,-0.727,0.652
-0.059,-0.734,0.652
-0.051,-0.742,0.66
-0.039,-0.742,0.668
-0.039,-0.746,0.668
-0.043,-0.75,0.664
-0.047,-0.754,0.668
-0.055,-0.758,0.672
-0.059,-0.754,0.68
