x_acc,y_acc,z_acc
-0.203,-0.707,0.641
-0.227,-0.691,0.629
-0.262,-0.664,0.637
-0.285,-0.648,0.652
-0.293,-0.66,0.66
-0.285,-0.695,0.664
-0.281,-0.734,0.668
-0.27,-0.742,0.676
-0.273,-0.727,0.684
-0.27,-0.719,0.684
-0.25,-0.715,0.688
-0.242,-0.719,0.695
-0.238,-0.727,0.703
-0.25,-0.746,0.688
-0.258,-0.766,0.691
-0.27,-0.789,0.68
-0.25,-0.797,0.68
-0.207,-0.801,0.691
-0.152,-0.852,0.715
-0.09,-0.922,0.742
-0.023,-0.957,0.75
0.043,-0.922,0.73
0.086,-0.828,0.691
0.105,-0.719,0.66
0.109,-0.641,0.613
0.105,-0.605,0.586
0.086,-0.629,0.57
0.059,-0.68,0.578
0.043,-0.73,0.594
0.063,-0.773,0.613
0.09,-0.801,0.621
0.133,-0.793,0.637
0.164,-0.789,0.645
0.176,-0.801,0.66
0.176,-0.824,0.684
0.164,-0.859,0.695
0.129,-0.887,0.695
0.066,-0.887,0.68
0.027,-0.852,0.672
0.016,-0.801,0.652
0.023,-0.777,0.629
0.039,-0.777,0.609
0.047,-0.789,0.59
0.059,-0.809,0.566
0.066,-0.82,0.547
0.07,-0.824,0.535
0.066,-0.828,0.539
0.07,-0.828,0.535
0.059,-0.832,0.531
0.066,-0.836,0.531
0.066,-0.836,0.535
0.063,-0.82,0.551
0.055,-0.805,0.555
0.059,-0.793,0.547
0.059,-0.773,0.543
0.063,-0.754,0.555
0.07,-0.738,0.566
0.074,-0.727,0.566
0.082,-0.707,0.551
0.078,-0.688,0.539
0.066,-0.684,0.527
0.047,-0.684,0.531
0.012,-0.691,0.535
-0.031,-0.711,0.531
-0.082,-0.73,0.543
-0.145,-0.789,0.555
-0.219,-0.906,0.578
-0.305,-1.035,0.613
-0.359,-1.125,0.66
-0.367,-1.129,0.691
-0.34,-1.094,0.707
-0.305,-1.07,0.707
-0.262,-1.039,0.691
-0.234,-1.008,0.672
-0.238,-0.984,0.648
-0.266,-0.969,0.625
-0.293,-0.945,0.605
-0.32,-0.934,0.578
-0.324,-0.918,0.559
-0.285,-0.906,0.539
-0.234,-0.883,0.512
-0.188,-0.855,0.484
-0.16,-0.828,0.461
-0.141,-0.809,0.445
-0.133,-0.813,0.434
-0.141,-0.813,0.43
-0.148,-0.824,0.426
-0.16,-0.828,0.43
-0.172,-0.828,0.434
-0.184,-0.824,0.441
-0.207,-0.824,0.441
-0.23,-0.836,0.457
-0.234,-0.848,0.473
-0.234,-0.848,0.477
-0.227,-0.852,0.48
-0.223,-0.855,0.488
-0.211,-0.859,0.492
-0.203,-0.863,0.488
-0.211,-0.879,0.48
-0.191,-0.875,0.477
-0.172,-0.867,0.461
-0.16,-0.855,0.445
-0.148,-0.844,0.441
-0.145,-0.84,0.438
-0.152,-0.859,0.434
-0.164,-0.883,0.438
-0.164,-0.906,0.441
-0.152,-0.918,0.449
-0.129,-0.91,0.457
-0.117,-0.91,0.469
-0.105,-0.91,0.488
-0.113,-0.91,0.492
-0.129,-0.906,0.496
-0.141,-0.898,0.496
-0.148,-0.895,0.516
-0.152,-0.883,0.531
-0.156,-0.875,0.535
-0.168,-0.883,0.559
-0.168,-0.891,0.563
-0.16,-0.926,0.582
-0.137,-1.012,0.621
-0.082,-1.113,0.707
0.02,-1.176,0.773
0.121,-1.148,0.805
0.152,-1.047,0.82
0.121,-0.934,0.813
0.059,-0.871,0.77
0.02,-0.844,0.73
0.004,-0.836,0.684
0.02,-0.84,0.625
0.055,-0.852,0.574
0.109,-0.852,0.547
0.156,-0.844,0.527
0.191,-0.824,0.527
0.219,-0.816,0.527
0.238,-0.805,0.527
0.242,-0.793,0.527
0.234,-0.781,0.531
0.215,-0.77,0.543
0.18,-0.758,0.555
0.148,-0.746,0.563
0.113,-0.75,0.551
0.086,-0.77,0.527
0.07,-0.797,0.508
0.063,-0.805,0.492
0.047,-0.801,0.477
0.047,-0.781,0.461
0.051,-0.773,0.449
0.043,-0.781,0.438
0.043,-0.805,0.438
0.031,-0.82,0.426
0.02,-0.824,0.426
0.008,-0.828,0.43
0.004,-0.828,0.434
0.0,-0.824,0.434
0.008,-0.824,0.426
0.016,-0.824,0.418
0.016,-0.828,0.414
0.027,-0.832,0.406
0.035,-0.832,0.398
0.047,-0.836,0.391
0.059,-0.836,0.395
0.07,-0.832,0.383
0.078,-0.84,0.383
0.082,-0.855,0.391
0.086,-0.859,0.391
0.082,-0.867,0.395
0.082,-0.871,0.402
0.105,-0.879,0.414
0.129,-0.914,0.438
0.141,-0.953,0.465
0.137,-0.988,0.484
0.117,-1.008,0.492
0.102,-1.012,0.508
0.098,-1.004,0.527
0.105,-1.0,0.551
0.117,-1.004,0.57
0.117,-1.043,0.598
0.105,-1.098,0.613
0.09,-1.18,0.625
0.059,-1.266,0.629
0.012,-1.332,0.637
-0.035,-1.355,0.656
-0.09,-1.305,0.664
-0.152,-1.195,0.668
-0.215,-1.066,0.664
-0.254,-0.949,0.645
-0.277,-0.859,0.621
-0.281,-0.797,0.594
-0.273,-0.75,0.563
-0.266,-0.719,0.527
-0.262,-0.711,0.508
-0.258,-0.73,0.504
-0.254,-0.762,0.512
-0.242,-0.797,0.52
-0.227,-0.805,0.527
-0.203,-0.793,0.547
-0.18,-0.766,0.559
-0.164,-0.73,0.566
-0.145,-0.699,0.563
-0.133,-0.668,0.547
-0.129,-0.652,0.535
-0.133,-0.645,0.52
-0.145,-0.648,0.492
-0.152,-0.664,0.477
-0.156,-0.676,0.465
-0.152,-0.691,0.457
-0.137,-0.695,0.453
-0.125,-0.703,0.453
-0.117,-0.715,0.453
-0.121,-0.734,0.461
-0.133,-0.758,0.473
-0.141,-0.777,0.477
-0.148,-0.793,0.488
-0.152,-0.801,0.5
-0.16,-0.805,0.516
-0.172,-0.805,0.523
-0.176,-0.805,0.516
-0.172,-0.805,0.504
-0.176,-0.824,0.5
-0.176,-0.84,0.488
-0.168,-0.848,0.484
-0.168,-0.852,0.488
-0.16,-0.848,0.488
-0.152,-0.852,0.484
-0.141,-0.863,0.492
-0.137,-0.895,0.504
-0.133,-0.938,0.516
-0.129,-0.961,0.535
-0.133,-0.938,0.563
-0.152,-0.891,0.586
-0.172,-0.855,0.617
-0.191,-0.848,0.625
-0.191,-0.91,0.633
-0.148,-1.047,0.684
-0.043,-1.234,0.75
0.141,-1.418,0.746
0.293,-1.461,0.723
0.359,-1.273,0.715
0.344,-1.004,0.715
0.289,-0.813,0.707
0.23,-0.754,0.699
0.176,-0.789,0.695
0.145,-0.828,0.672
0.137,-0.836,0.633
0.133,-0.832,0.609
0.133,-0.832,0.598
0.145,-0.828,0.578
0.141,-0.84,0.547
0.141,-0.852,0.516
0.133,-0.844,0.488
0.113,-0.805,0.48
0.094,-0.746,0.477
0.078,-0.695,0.457
0.059,-0.664,0.445
0.035,-0.637,0.434
0.02,-0.625,0.41
0.008,-0.629,0.395
0.004,-0.652,0.375
0.004,-0.672,0.367
0.008,-0.695,0.367
0.008,-0.727,0.371
0.004,-0.75,0.371
0.008,-0.766,0.379
0.012,-0.777,0.391
0.016,-0.781,0.395
0.031,-0.781,0.398
0.051,-0.789,0.398
0.066,-0.797,0.383
0.074,-0.809,0.383
0.078,-0.832,0.379
0.09,-0.859,0.391
0.094,-0.871,0.414
0.094,-0.871,0.441
0.094,-0.879,0.453
0.098,-0.906,0.457
0.098,-0.945,0.461
0.098,-0.973,0.477
0.09,-1.0,0.492
0.074,-1.02,0.512
0.047,-1.031,0.531
0.02,-1.035,0.555
-0.004,-1.063,0.605
-0.043,-1.156,0.684
-0.102,-1.316,0.742
-0.219,-1.453,0.773
-0.336,-1.43,0.809
-0.402,-1.281,0.844
-0.414,-1.125,0.859
-0.391,-1.023,0.855
-0.348,-0.977,0.82
-0.293,-0.957,0.777
-0.262,-0.953,0.727
-0.25,-0.945,0.699
-0.25,-0.926,0.676
-0.242,-0.906,0.66
-0.238,-0.867,0.645
-0.23,-0.824,0.629
-0.219,-0.777,0.613
-0.195,-0.738,0.605
-0.176,-0.688,0.582
-0.168,-0.637,0.551
-0.16,-0.582,0.52
-0.16,-0.547,0.488
-0.172,-0.531,0.457
-0.188,-0.543,0.43
-0.195,-0.566,0.406
-0.195,-0.582,0.383
-0.188,-0.598,0.375
-0.172,-0.613,0.371
