x_acc,y_acc,z_acc
-0.086,-0.926,0.41
-0.082,-0.922,0.418
-0.09,-0.922,0.422
-0.082,-0.918,0.426
-0.078,-0.91,0.422
-0.074,-0.91,0.422
-0.078,-0.91,0.422
-0.074,-0.906,0.422
-0.074,-0.91,0.426
-0.07,-0.91,0.434
-0.066,-0.91,0.434
-0.063,-0.906,0.434
-0.059,-0.914,0.438
-0.051,-0.926,0.438
-0.051,-0.934,0.441
-0.047,-0.93,0.445
-0.051,-0.926,0.453
-0.043,-0.922,0.457
-0.043,-0.918,0.461
-0.039,-0.91,0.465
-0.043,-0.914,0.465
-0.047,-0.918,0.465
-0.039,-0.91,0.461
-0.039,-0.902,0.457
-0.043,-0.895,0.465
-0.043,-0.891,0.465
-0.047,-0.898,0.461
-0.043,-0.906,0.461
-0.043,-0.914,0.453
-0.043,-0.914,0.438
-0.039,-0.91,0.43
-0.039,-0.922,0.434
-0.039,-0.922,0.434
-0.039,-0.922,0.438
-0.039,-0.922,0.445
-0.039,-0.918,0.449
-0.035,-0.914,0.453
-0.035,-0.914,0.461
-0.035,-0.902,0.473
-0.027,-0.902,0.48
-0.023,-0.906,0.48
-0.023,-0.91,0.484
-0.027,-0.914,0.48
-0.023,-0.898,0.484
-0.027,-0.906,0.48
-0.031,-0.91,0.477
-0.039,-0.914,0.48
-0.039,-0.906,0.473
-0.043,-0.902,0.469
-0.043,-0.902,0.469
-0.047,-0.898,0.465
-0.047,-0.895,0.465
-0.066,-0.891,0.473
-0.055,-0.891,0.48
-0.055,-0.895,0.473
-0.055,-0.902,0.461
-0.059,-0.91,0.453
-0.059,-0.91,0.449
-0.055,-0.906,0.441
-0.051,-0.898,0.441
-0.047,-0.891,0.441
-0.055,-0.883,0.445
-0.055,-0.879,0.449
-0.055,-0.879,0.449
-0.059,-0.887,0.457
-0.066,-0.898,0.465
-0.07,-0.906,0.469
-0.078,-0.914,0.469
-0.086,-0.918,0.473
-0.098,-0.922,0.473
-0.098,-0.938,0.477
-0.094,-0.941,0.488
-0.102,-0.945,0.5
-0.102,-0.949,0.508
-0.094,-0.949,0.516
-0.09,-0.945,0.508
-0.09,-0.949,0.504
-0.082,-0.949,0.508
-0.074,-0.953,0.504
-0.07,-0.961,0.496
-0.059,-0.957,0.488
-0.047,-0.949,0.48
-0.043,-0.934,0.477
-0.043,-0.918,0.469
-0.051,-0.906,0.465
-0.055,-0.91,0.465
-0.063,-0.91,0.461
-0.07,-0.91,0.469
-0.082,-0.906,0.457
-0.09,-0.906,0.457
-0.09,-0.898,0.453
-0.094,-0.887,0.453
-0.086,-0.883,0.445
-0.09,-0.879,0.453
-0.094,-0.879,0.449
-0.098,-0.879,0.441
-0.105,-0.871,0.434
-0.113,-0.867,0.43
-0.113,-0.855,0.422
-0.113,-0.855,0.422
-0.117,-0.859,0.426
-0.121,-0.855,0.43
-0.125,-0.855,0.43
-0.113,-0.867,0.441
-0.109,-0.867,0.438
-0.113,-0.875,0.438
-0.113,-0.895,0.445
-0.113,-0.906,0.449
-0.113,-0.918,0.449
-0.121,-0.918,0.457
-0.121,-0.918,0.453
-0.113,-0.922,0.453
-0.109,-0.93,0.457
-0.109,-0.938,0.453
-0.098,-0.938,0.457
-0.098,-0.945,0.465
-0.09,-0.949,0.465
-0.082,-0.957,0.461
-0.07,-0.961,0.465
-0.07,-0.977,0.457
-0.063,-0.984,0.461
-0.059,-0.984,0.457
-0.063,-0.984,0.461
-0.074,-0.988,0.457
-0.078,-0.988,0.457
-0.094,-1.0,0.453
-0.102,-1.008,0.457
-0.098,-1.031,0.453
-0.094,-1.027,0.449
-0.082,-1.004,0.445
-0.078,-0.992,0.441
-0.074,-0.988,0.438
-0.07,-0.977,0.434
-0.066,-0.969,0.422
-0.07,-0.969,0.414
-0.074,-0.969,0.402
-0.066,-0.961,0.395
-0.07,-0.949,0.379
-0.07,-0.934,0.371
-0.07,-0.91,0.367
-0.078,-0.902,0.375
-0.086,-0.918,0.391
-0.094,-0.949,0.402
-0.086,-0.973,0.41
-0.082,-0.965,0.418
-0.074,-0.945,0.418
-0.059,-0.922,0.418
-0.035,-0.891,0.426
-0.02,-0.867,0.434
-0.004,-0.852,0.449
0.012,-0.855,0.453
0.016,-0.867,0.453
0.016,-0.879,0.449
0.016,-0.887,0.457
0.004,-0.898,0.449
-0.004,-0.926,0.449
-0.008,-0.945,0.449
-0.012,-0.957,0.449
-0.008,-0.961,0.445
0.004,-0.965,0.457
0.023,-0.977,0.465
0.035,-1.0,0.469
0.047,-1.004,0.477
0.051,-0.996,0.488
0.047,-0.977,0.477
0.031,-0.961,0.469
0.02,-0.953,0.453
0.012,-0.938,0.434
0.008,-0.922,0.426
0.0,-0.914,0.41
0.0,-0.902,0.402
0.0,-0.895,0.398
-0.008,-0.883,0.391
-0.008,-0.871,0.391
-0.008,-0.867,0.395
-0.008,-0.859,0.395
-0.008,-0.859,0.398
0.0,-0.859,0.398
0.004,-0.867,0.398
0.004,-0.863,0.395
0.008,-0.863,0.383
-0.004,-0.867,0.379
-0.008,-0.871,0.387
-0.008,-0.879,0.391
-0.016,-0.887,0.395
-0.023,-0.883,0.391
-0.016,-0.875,0.395
-0.02,-0.879,0.398
-0.016,-0.879,0.398
-0.016,-0.879,0.406
-0.02,-0.879,0.422
-0.031,-0.883,0.426
-0.039,-0.883,0.43
-0.051,-0.875,0.434
-0.066,-0.887,0.445
-0.074,-0.906,0.445
-0.074,-0.918,0.445
-0.082,-0.922,0.441
-0.078,-0.926,0.438
-0.082,-0.945,0.441
-0.078,-0.977,0.449
-0.086,-1.0,0.461
-0.09,-1.02,0.477
-0.074,-1.02,0.492
-0.059,-1.012,0.5
-0.047,-1.012,0.516
-0.051,-1.008,0.527
-0.055,-1.008,0.543
-0.07,-0.996,0.551
-0.09,-0.969,0.566
-0.117,-0.961,0.57
-0.137,-0.996,0.594
-0.141,-1.055,0.602
-0.141,-1.082,0.605
-0.129,-1.055,0.594
-0.102,-1.004,0.582
-0.055,-0.98,0.578
-0.027,-0.98,0.559
-0.027,-0.941,0.547
-0.031,-0.879,0.535
-0.039,-0.832,0.52
-0.051,-0.824,0.512
-0.063,-0.824,0.508
-0.074,-0.824,0.52
-0.09,-0.816,0.547
-0.098,-0.816,0.563
-0.113,-0.824,0.57
-0.117,-0.816,0.59
-0.121,-0.824,0.609
-0.129,-0.84,0.609
-0.121,-0.848,0.598
-0.117,-0.855,0.582
-0.129,-0.852,0.566
-0.137,-0.848,0.559
-0.145,-0.848,0.543
-0.152,-0.844,0.531
-0.164,-0.844,0.516
-0.172,-0.848,0.496
-0.172,-0.852,0.48
-0.168,-0.852,0.461
-0.168,-0.848,0.445
-0.172,-0.852,0.438
-0.172,-0.859,0.434
-0.172,-0.859,0.43
-0.168,-0.848,0.43
-0.176,-0.828,0.434
-0.18,-0.789,0.434
-0.188,-0.77,0.434
-0.191,-0.777,0.434
-0.195,-0.797,0.434
-0.191,-0.809,0.434
-0.191,-0.805,0.434
-0.199,-0.801,0.43
-0.191,-0.813,0.43
-0.191,-0.82,0.422
-0.191,-0.828,0.41
-0.188,-0.816,0.395
-0.184,-0.793,0.391
-0.176,-0.789,0.406
-0.164,-0.824,0.426
-0.16,-0.871,0.438
-0.148,-0.902,0.445
-0.137,-0.926,0.461
-0.129,-0.957,0.469
-0.121,-0.98,0.48
-0.117,-0.988,0.496
-0.117,-0.988,0.516
-0.133,-1.008,0.523
-0.145,-1.023,0.531
-0.168,-1.023,0.547
-0.203,-1.012,0.574
-0.238,-0.973,0.598
-0.258,-0.941,0.625
-0.254,-0.949,0.617
-0.242,-0.953,0.613
-0.227,-0.969,0.605
-0.203,-0.996,0.574
-0.16,-1.031,0.539
-0.113,-1.051,0.508
-0.051,-1.055,0.484
0.023,-1.055,0.48
0.086,-1.035,0.496
0.137,-0.992,0.531
0.188,-0.938,0.563
0.223,-0.887,0.594
0.227,-0.863,0.613
0.191,-0.852,0.625
0.145,-0.855,0.637
0.094,-0.867,0.641
0.063,-0.875,0.645
0.047,-0.875,0.641
0.051,-0.871,0.633
0.059,-0.875,0.625
0.051,-0.871,0.621
0.043,-0.844,0.605
0.023,-0.816,0.59
0.004,-0.793,0.574
-0.008,-0.773,0.555
-0.012,-0.766,0.531
-0.008,-0.758,0.516
0.0,-0.766,0.516
0.004,-0.781,0.512
-0.004,-0.797,0.508
0.008,-0.805,0.512
0.016,-0.789,0.5
0.02,-0.785,0.492
0.023,-0.789,0.492
0.023,-0.801,0.492
0.02,-0.801,0.484
0.023,-0.801,0.477
0.02,-0.789,0.469
0.023,-0.781,0.457
0.035,-0.77,0.449
0.047,-0.766,0.441
0.055,-0.77,0.441
0.047,-0.777,0.434
0.031,-0.797,0.418
0.008,-0.797,0.402
0.0,-0.785,0.398
-0.012,-0.781,0.406
-0.02,-0.785,0.418
-0.023,-0.785,0.43
-0.039,-0.801,0.434
-0.066,-0.82,0.426
-0.082,-0.828,0.434
-0.098,-0.832,0.453
-0.105,-0.844,0.473
-0.109,-0.879,0.492
-0.102,-0.93,0.512
-0.094,-0.98,0.535
-0.082,-0.996,0.559
-0.066,-1.004,0.578
-0.047,-1.016,0.594
-0.027,-1.016,0.602
-0.02,-1.02,0.598
-0.008,-1.016,0.586
-0.016,-1.012,0.586
-0.051,-1.043,0.582
-0.086,-1.047,0.598
-0.109,-1.031,0.602
-0.137,-1.059,0.582
-0.152,-1.121,0.555
-0.18,-1.168,0.547
-0.191,-1.164,0.543
-0.211,-1.109,0.531
-0.215,-1.027,0.523
-0.211,-0.938,0.531
-0.188,-0.883,0.547
-0.156,-0.895,0.539
-0.137,-0.93,0.539
-0.133,-0.914,0.527
-0.117,-0.875,0.52
-0.098,-0.844,0.512
-0.066,-0.844,0.512
-0.051,-0.867,0.512
-0.043,-0.895,0.516
-0.043,-0.914,0.539
-0.055,-0.93,0.57
-0.078,-0.945,0.598
-0.094,-0.941,0.605
-0.098,-0.914,0.613
-0.086,-0.879,0.621
-0.078,-0.855,0.633
-0.074,-0.832,0.637
-0.066,-0.816,0.637
-0.059,-0.813,0.625
-0.035,-0.797,0.605
-0.012,-0.781,0.57
0.008,-0.762,0.535
0.004,-0.738,0.5
-0.008,-0.73,0.473
-0.023,-0.73,0.457
-0.035,-0.742,0.445
-0.051,-0.742,0.43
-0.059,-0.727,0.418
-0.066,-0.715,0.402
-0.086,-0.707,0.379
-0.102,-0.723,0.363
-0.113,-0.742,0.348
-0.113,-0.785,0.34
-0.113,-0.824,0.348
-0.113,-0.852,0.363
-0.121,-0.84,0.371
-0.137,-0.824,0.387
-0.156,-0.805,0.41
-0.16,-0.789,0.438
-0.16,-0.789,0.461
-0.164,-0.809,0.48
-0.156,-0.832,0.492
-0.145,-0.863,0.496
-0.133,-0.898,0.488
-0.113,-0.93,0.484
-0.094,-0.961,0.473
-0.078,-0.984,0.473
-0.086,-0.988,0.473
-0.105,-0.984,0.484
-0.141,-0.965,0.512
-0.184,-0.973,0.543
-0.223,-1.0,0.563
-0.254,-1.027,0.586
-0.266,-1.066,0.582
-0.254,-1.16,0.563
-0.199,-1.289,0.551
-0.09,-1.344,0.563
-0.008,-1.301,0.578
0.07,-1.211,0.602
0.145,-1.098,0.621
0.191,-0.98,0.648
0.199,-0.887,0.672
0.18,-0.832,0.684
0.129,-0.836,0.68
0.082,-0.875,0.668
0.055,-0.895,0.656
0.043,-0.879,0.652
0.035,-0.859,0.656
0.02,-0.848,0.66
-0.004,-0.836,0.656
-0.039,-0.809,0.648
-0.066,-0.777,0.641
-0.078,-0.75,0.621
-0.07,-0.723,0.594
-0.055,-0.711,0.57
-0.031,-0.715,0.551
-0.008,-0.723,0.531
0.008,-0.727,0.516
0.016,-0.73,0.5
0.016,-0.738,0.492
0.016,-0.746,0.48
0.016,-0.754,0.477
0.012,-0.75,0.473
0.0,-0.746,0.465
