x_acc,y_acc,z_acc
0.227,0.203,0.996
0.234,0.211,0.996
0.238,0.219,1.0
0.23,0.23,0.996
0.227,0.223,0.992
0.215,0.215,0.988
0.211,0.211,0.992
0.199,0.203,1.0
0.191,0.195,0.996
0.191,0.188,0.996
0.195,0.176,1.0
0.203,0.16,1.0
0.207,0.148,1.0
0.215,0.145,1.0
0.223,0.141,1.0
0.227,0.141,0.996
0.23,0.141,0.992
0.223,0.129,0.984
0.219,0.125,0.977
0.215,0.125,0.973
0.215,0.125,0.969
0.211,0.133,0.961
0.223,0.129,0.973
0.219,0.137,0.965
0.219,0.137,0.949
0.207,0.129,0.938
0.203,0.125,0.93
0.199,0.129,0.934
0.203,0.137,0.945
0.211,0.152,0.953
0.215,0.16,0.957
0.215,0.16,0.961
0.215,0.164,0.957
0.211,0.164,0.949
0.207,0.164,0.949
0.203,0.156,0.953
0.203,0.152,0.953
0.207,0.152,0.957
0.207,0.145,0.969
0.219,0.141,0.973
0.219,0.137,0.977
0.234,0.137,0.977
0.227,0.133,0.984
0.23,0.137,0.992
0.238,0.137,0.984
0.246,0.137,0.98
0.254,0.137,0.988
0.266,0.141,1.004
0.277,0.156,1.012
0.289,0.156,1.023
0.305,0.148,1.043
0.32,0.148,1.059
0.332,0.16,1.07
0.352,0.191,1.09
0.379,0.238,1.129
0.402,0.273,1.176
0.414,0.277,1.18
0.395,0.242,1.148
0.359,0.203,1.109
0.324,0.195,1.059
0.309,0.211,1.0
0.305,0.238,0.961
0.336,0.266,0.941
0.379,0.262,0.926
0.426,0.242,0.914
0.469,0.23,0.91
0.488,0.223,0.918
0.48,0.219,0.914
0.445,0.215,0.91
0.398,0.207,0.906
0.348,0.199,0.898
0.305,0.191,0.887
0.309,0.172,0.875
0.32,0.152,0.852
0.336,0.145,0.836
0.363,0.141,0.828
0.387,0.141,0.828
0.398,0.152,0.828
0.395,0.156,0.844
0.371,0.156,0.855
0.344,0.156,0.863
0.324,0.148,0.879
0.316,0.145,0.891
0.305,0.133,0.895
0.297,0.129,0.898
0.297,0.129,0.902
0.297,0.133,0.902
0.309,0.141,0.914
0.313,0.141,0.922
0.32,0.141,0.922
0.32,0.141,0.926
0.316,0.141,0.926
0.316,0.141,0.93
0.32,0.145,0.941
0.332,0.148,0.957
0.34,0.148,0.973
0.344,0.145,0.98
0.348,0.145,0.992
0.348,0.152,1.0
0.34,0.16,1.012
0.344,0.176,1.016
0.352,0.18,1.031
0.352,0.18,1.039
0.348,0.172,1.047
0.332,0.156,1.047
0.32,0.148,1.047
0.316,0.148,1.047
0.316,0.148,1.047
0.32,0.129,1.047
0.324,0.098,1.02
0.34,0.066,1.0
0.352,0.078,1.016
0.344,0.137,1.078
0.301,0.215,1.145
0.246,0.242,1.195
0.199,0.18,1.211
0.168,0.102,1.18
0.133,0.063,1.129
0.113,0.051,1.059
0.129,0.07,1.012
