x_acc,y_acc,z_acc
0.117,0.094,0.926
0.145,0.09,0.922
0.168,0.078,0.918
0.191,0.066,0.926
0.199,0.055,0.93
0.191,0.051,0.934
0.172,0.051,0.938
0.156,0.043,0.945
0.137,0.035,0.941
0.129,0.027,0.938
0.129,0.016,0.934
0.145,-0.004,0.934
0.168,-0.02,0.941
0.195,-0.027,0.941
0.215,-0.031,0.941
0.238,-0.016,0.953
0.254,0.0,0.98
0.246,0.02,1.012
0.242,0.012,1.043
0.234,-0.008,1.059
0.219,-0.055,1.07
0.211,-0.102,1.066
0.211,-0.133,1.051
0.215,-0.16,1.031
0.223,-0.18,1.02
0.227,-0.227,1.031
0.219,-0.266,1.055
0.133,-0.223,1.047
0.016,-0.148,1.121
-0.055,-0.043,1.191
-0.082,0.043,1.238
-0.09,0.055,1.289
-0.086,0.02,1.309
-0.078,-0.043,1.301
-0.039,-0.094,1.262
0.027,-0.082,1.211
0.094,-0.039,1.176
0.133,0.0,1.145
0.152,0.027,1.113
0.168,0.027,1.078
0.18,0.008,1.043
0.184,-0.012,1.008
0.18,-0.016,0.988
0.168,0.0,0.973
0.145,0.027,0.965
0.121,0.051,0.961
0.105,0.059,0.965
0.098,0.047,0.965
0.105,0.027,0.961
0.117,0.008,0.957
0.129,-0.004,0.949
0.137,-0.012,0.949
0.148,-0.02,0.941
0.148,-0.02,0.941
0.148,-0.027,0.938
0.148,-0.031,0.93
0.141,-0.043,0.93
0.129,-0.055,0.934
0.113,-0.07,0.949
0.086,-0.094,0.973
0.066,-0.117,0.988
0.059,-0.145,1.012
0.043,-0.164,1.027
0.031,-0.168,1.047
0.02,-0.164,1.059
0.02,-0.145,1.066
0.016,-0.121,1.074
0.008,-0.105,1.082
0.008,-0.098,1.086
0.012,-0.098,1.09
0.027,-0.121,1.082
0.055,-0.148,1.07
0.086,-0.195,1.051
0.102,-0.273,1.059
0.137,-0.309,1.094
0.199,-0.246,1.066
0.293,-0.145,1.086
0.328,-0.031,1.133
0.336,0.059,1.191
0.352,0.07,1.227
0.367,0.016,1.242
0.367,-0.055,1.23
0.336,-0.09,1.215
0.27,-0.082,1.195
0.188,-0.051,1.172
0.117,-0.031,1.152
0.059,-0.027,1.125
0.031,-0.027,1.09
0.023,-0.023,1.051
0.059,-0.02,1.008
0.105,-0.004,0.969
0.152,0.023,0.934
0.172,0.059,0.91
0.176,0.09,0.891
0.164,0.098,0.883
0.148,0.086,0.871
0.129,0.066,0.867
0.117,0.047,0.875
0.117,0.039,0.887
0.125,0.031,0.898
0.137,0.023,0.902
0.148,0.008,0.91
0.164,0.0,0.914
0.172,-0.012,0.914
0.188,-0.016,0.926
0.211,-0.023,0.938
0.23,-0.035,0.953
0.254,-0.035,0.973
0.27,-0.035,1.0
0.277,-0.035,1.027
0.27,-0.035,1.063
0.258,-0.035,1.09
0.242,-0.039,1.117
0.227,-0.055,1.125
0.211,-0.074,1.113
0.203,-0.09,1.09
0.191,-0.094,1.059
0.188,-0.113,1.039
0.191,-0.148,1.066
0.152,-0.133,1.074
0.074,-0.09,1.125
0.016,-0.043,1.188
-0.004,0.004,1.234
-0.004,0.027,1.25
-0.02,0.012,1.262
-0.059,-0.016,1.258
-0.043,-0.039,1.246
-0.012,-0.039,1.223
0.02,-0.02,1.195
0.066,-0.004,1.168
0.105,0.0,1.141
0.133,0.004,1.105
0.16,0.004,1.078
0.18,0.012,1.051
0.199,0.031,1.02
0.199,0.055,1.008
0.18,0.074,0.996
0.152,0.078,0.988
0.117,0.07,0.988
0.094,0.063,0.992
0.07,0.047,0.992
0.059,0.039,0.98
0.063,0.039,0.977
0.086,0.039,0.973
0.102,0.035,0.965
0.121,0.031,0.957
0.125,0.016,0.961
0.121,0.008,0.961
0.117,-0.004,0.953
0.105,-0.016,0.953
0.09,-0.016,0.957
0.07,-0.016,0.957
0.047,-0.023,0.949
0.031,-0.039,0.957
0.008,-0.059,0.969
-0.012,-0.082,0.992
-0.027,-0.098,1.031
-0.043,-0.117,1.063
-0.051,-0.125,1.094
-0.047,-0.121,1.121
-0.039,-0.113,1.137
-0.02,-0.113,1.141
0.012,-0.113,1.133
0.051,-0.109,1.113
0.074,-0.125,1.082
0.082,-0.168,1.055
0.094,-0.23,1.098
0.129,-0.199,1.078
0.215,-0.125,1.074
0.289,-0.035,1.094
0.324,0.047,1.129
0.344,0.082,1.152
0.363,0.059,1.184
0.352,0.0,1.199
0.316,-0.043,1.188
0.254,-0.059,1.172
0.211,-0.059,1.164
0.172,-0.047,1.152
0.137,-0.039,1.125
0.125,-0.035,1.098
0.121,-0.027,1.063
0.117,-0.02,1.039
0.125,0.008,1.012
0.137,0.043,0.98
0.133,0.066,0.961
0.125,0.086,0.945
0.121,0.098,0.926
0.117,0.094,0.91
0.117,0.086,0.902
0.125,0.074,0.895
0.129,0.066,0.895
0.125,0.059,0.898
0.121,0.043,0.898
0.121,0.035,0.898
0.129,0.027,0.902
0.145,0.016,0.902
0.168,0.0,0.91
0.191,-0.016,0.918
0.211,-0.023,0.934
0.23,-0.031,0.957
0.25,-0.043,0.98
0.27,-0.051,1.02
0.281,-0.063,1.055
0.285,-0.066,1.082
0.262,-0.066,1.105
0.23,-0.074,1.125
0.215,-0.086,1.137
0.199,-0.082,1.125
0.191,-0.078,1.094
0.188,-0.09,1.07
0.191,-0.133,1.074
0.176,-0.156,1.09
0.102,-0.121,1.082
0.012,-0.066,1.125
-0.027,-0.012,1.16
-0.02,0.027,1.188
-0.004,0.031,1.203
0.0,0.0,1.211
0.004,-0.035,1.207
0.02,-0.055,1.207
0.039,-0.047,1.199
0.063,-0.016,1.172
0.086,0.012,1.152
0.102,0.027,1.129
