x_acc,y_acc,z_acc
0.047,-0.625,0.855
0.043,-0.566,0.852
0.055,-0.512,0.836
0.074,-0.469,0.828
0.102,-0.453,0.82
0.145,-0.469,0.809
0.184,-0.508,0.793
0.223,-0.586,0.789
0.254,-0.676,0.777
0.258,-0.742,0.742
0.234,-0.758,0.703
0.195,-0.73,0.699
0.164,-0.699,0.715
0.141,-0.672,0.75
0.121,-0.66,0.781
0.117,-0.668,0.777
0.109,-0.688,0.758
0.109,-0.703,0.73
0.113,-0.707,0.703
0.121,-0.699,0.695
0.129,-0.684,0.703
0.137,-0.668,0.719
0.141,-0.652,0.727
0.156,-0.641,0.742
0.156,-0.633,0.75
0.156,-0.621,0.742
0.164,-0.621,0.734
0.164,-0.621,0.723
0.148,-0.621,0.711
0.152,-0.617,0.703
0.16,-0.609,0.691
0.16,-0.613,0.695
0.164,-0.613,0.699
0.168,-0.621,0.699
0.172,-0.633,0.695
0.176,-0.652,0.699
0.176,-0.664,0.699
0.176,-0.676,0.688
0.164,-0.691,0.676
0.156,-0.699,0.664
0.16,-0.715,0.664
0.176,-0.727,0.68
0.203,-0.758,0.688
0.227,-0.797,0.684
0.246,-0.84,0.664
0.25,-0.879,0.648
0.238,-0.898,0.641
0.215,-0.895,0.645
0.191,-0.898,0.672
0.176,-0.922,0.707
0.16,-0.969,0.738
0.129,-1.008,0.727
0.086,-1.012,0.703
0.051,-0.969,0.727
0.043,-0.867,0.785
0.035,-0.734,0.836
0.031,-0.645,0.895
0.02,-0.563,0.938
0.004,-0.504,0.949
-0.023,-0.484,0.938
-0.059,-0.5,0.926
-0.078,-0.535,0.906
-0.07,-0.598,0.902
-0.043,-0.668,0.902
-0.004,-0.719,0.887
0.031,-0.75,0.852
0.055,-0.742,0.816
0.074,-0.723,0.797
0.07,-0.691,0.801
0.055,-0.676,0.805
0.039,-0.668,0.801
0.031,-0.676,0.789
0.027,-0.684,0.777
0.027,-0.695,0.75
0.027,-0.688,0.73
0.023,-0.684,0.715
0.023,-0.676,0.711
0.023,-0.664,0.719
0.012,-0.652,0.727
0.016,-0.656,0.734
0.012,-0.664,0.723
0.004,-0.668,0.707
0.004,-0.664,0.703
0.008,-0.656,0.691
0.008,-0.645,0.691
0.008,-0.637,0.699
0.0,-0.633,0.699
0.0,-0.637,0.691
-0.012,-0.645,0.688
-0.027,-0.656,0.684
-0.035,-0.66,0.676
-0.047,-0.664,0.672
-0.047,-0.656,0.66
-0.043,-0.645,0.66
-0.039,-0.637,0.672
-0.031,-0.645,0.691
-0.023,-0.664,0.691
-0.02,-0.703,0.691
-0.027,-0.746,0.695
-0.027,-0.797,0.703
-0.043,-0.828,0.707
-0.047,-0.848,0.719
-0.059,-0.855,0.738
-0.051,-0.867,0.762
-0.031,-0.891,0.785
-0.012,-0.906,0.801
0.004,-0.918,0.813
0.016,-0.938,0.836
0.023,-0.949,0.836
0.031,-0.934,0.824
0.031,-0.926,0.836
0.027,-0.922,0.852
0.039,-0.914,0.863
0.059,-0.895,0.867
0.082,-0.859,0.875
0.094,-0.797,0.867
0.098,-0.715,0.867
0.098,-0.625,0.879
0.102,-0.543,0.895
0.105,-0.492,0.906
0.125,-0.48,0.906
0.148,-0.508,0.883
0.172,-0.563,0.836
0.18,-0.625,0.797
0.176,-0.664,0.754
0.152,-0.676,0.727
0.129,-0.668,0.719
0.094,-0.648,0.719
0.055,-0.637,0.723
0.043,-0.633,0.738
0.047,-0.645,0.734
0.063,-0.676,0.73
0.082,-0.707,0.723
0.098,-0.727,0.707
0.102,-0.727,0.688
0.102,-0.719,0.684
0.086,-0.691,0.688
0.082,-0.664,0.699
0.086,-0.648,0.711
0.094,-0.641,0.719
0.102,-0.637,0.723
0.098,-0.633,0.723
0.098,-0.633,0.715
0.094,-0.629,0.707
0.094,-0.625,0.699
0.094,-0.621,0.691
0.094,-0.609,0.684
0.098,-0.609,0.676
0.105,-0.621,0.68
0.113,-0.645,0.676
0.117,-0.664,0.672
0.125,-0.68,0.664
0.125,-0.695,0.652
0.125,-0.695,0.637
0.125,-0.688,0.645
0.125,-0.68,0.648
0.129,-0.68,0.664
0.137,-0.684,0.676
0.152,-0.691,0.684
0.168,-0.711,0.68
0.184,-0.73,0.668
0.195,-0.754,0.676
0.207,-0.773,0.68
0.215,-0.797,0.68
0.215,-0.805,0.691
0.227,-0.813,0.707
0.223,-0.824,0.734
0.223,-0.84,0.758
0.215,-0.871,0.777
0.195,-0.898,0.777
0.152,-0.918,0.785
0.125,-0.91,0.84
0.117,-0.887,0.906
0.117,-0.84,0.949
0.105,-0.809,0.953
0.094,-0.773,0.945
0.074,-0.73,0.945
0.055,-0.691,0.949
0.023,-0.676,0.93
0.012,-0.707,0.918
-0.004,-0.75,0.887
-0.012,-0.781,0.836
-0.008,-0.797,0.777
0.0,-0.773,0.734
