x_acc,y_acc,z_acc
-0.246,-0.688,0.617
-0.199,-0.656,0.629
-0.191,-0.648,0.652
-0.195,-0.648,0.684
-0.199,-0.668,0.715
-0.215,-0.688,0.746
-0.23,-0.691,0.762
-0.25,-0.688,0.754
-0.254,-0.699,0.75
-0.25,-0.727,0.746
-0.254,-0.762,0.738
-0.262,-0.785,0.727
-0.266,-0.805,0.707
-0.27,-0.805,0.691
-0.273,-0.781,0.672
-0.277,-0.754,0.648
-0.281,-0.746,0.637
-0.289,-0.746,0.629
-0.301,-0.762,0.617
-0.309,-0.766,0.613
-0.316,-0.758,0.613
-0.313,-0.746,0.621
-0.309,-0.734,0.613
-0.301,-0.719,0.602
-0.281,-0.711,0.59
-0.27,-0.711,0.578
-0.27,-0.723,0.551
-0.273,-0.738,0.531
-0.277,-0.754,0.52
-0.273,-0.746,0.508
-0.262,-0.742,0.516
-0.25,-0.742,0.523
-0.242,-0.75,0.535
-0.234,-0.766,0.563
-0.234,-0.789,0.59
-0.23,-0.805,0.621
-0.234,-0.809,0.637
-0.215,-0.801,0.664
-0.176,-0.809,0.688
-0.145,-0.828,0.703
-0.156,-0.852,0.695
-0.18,-0.875,0.664
-0.191,-0.891,0.625
-0.191,-0.883,0.582
-0.188,-0.844,0.555
-0.18,-0.82,0.527
-0.195,-0.859,0.531
-0.277,-0.945,0.52
-0.414,-1.051,0.508
-0.523,-1.098,0.504
-0.559,-1.02,0.539
-0.531,-0.887,0.59
-0.492,-0.777,0.641
-0.465,-0.723,0.66
-0.465,-0.734,0.656
-0.484,-0.766,0.641
-0.504,-0.797,0.621
-0.508,-0.813,0.598
-0.496,-0.816,0.602
-0.465,-0.797,0.617
-0.441,-0.773,0.645
-0.426,-0.766,0.664
-0.41,-0.773,0.66
-0.387,-0.777,0.652
-0.371,-0.766,0.637
-0.371,-0.727,0.613
-0.379,-0.695,0.59
-0.398,-0.688,0.559
-0.41,-0.715,0.527
-0.395,-0.738,0.508
-0.371,-0.742,0.496
-0.348,-0.73,0.5
-0.328,-0.723,0.512
-0.336,-0.723,0.516
-0.34,-0.727,0.516
-0.34,-0.73,0.512
-0.332,-0.719,0.504
-0.328,-0.707,0.492
-0.324,-0.699,0.473
-0.328,-0.699,0.449
-0.328,-0.715,0.438
-0.34,-0.73,0.414
-0.348,-0.738,0.402
-0.352,-0.73,0.391
-0.371,-0.711,0.395
-0.406,-0.703,0.41
-0.43,-0.703,0.457
-0.426,-0.727,0.488
-0.391,-0.766,0.5
-0.363,-0.82,0.508
-0.344,-0.859,0.516
-0.32,-0.906,0.531
-0.289,-0.949,0.563
-0.258,-0.934,0.594
-0.254,-0.902,0.637
-0.266,-0.941,0.719
-0.23,-1.086,0.813
-0.113,-1.199,0.887
-0.031,-1.121,0.961
-0.039,-0.895,1.004
-0.105,-0.695,0.996
-0.168,-0.672,0.953
-0.195,-0.777,0.914
-0.191,-0.898,0.867
-0.18,-0.934,0.836
-0.172,-0.875,0.828
-0.176,-0.813,0.824
-0.164,-0.805,0.824
-0.152,-0.824,0.82
-0.156,-0.84,0.805
-0.176,-0.832,0.781
-0.207,-0.809,0.746
-0.23,-0.785,0.707
-0.242,-0.758,0.664
-0.246,-0.734,0.633
-0.238,-0.711,0.613
-0.23,-0.688,0.594
-0.227,-0.668,0.574
-0.223,-0.648,0.555
-0.215,-0.629,0.531
-0.207,-0.613,0.512
-0.195,-0.594,0.508
-0.18,-0.578,0.504
-0.172,-0.574,0.496
-0.168,-0.59,0.488
-0.16,-0.617,0.48
-0.148,-0.645,0.477
-0.129,-0.672,0.48
