x_acc,y_acc,z_acc
-0.012,0.16,1.035
-0.008,0.152,1.039
-0.004,0.152,1.047
-0.004,0.148,1.051
-0.008,0.145,1.051
-0.008,0.141,1.055
0.0,0.141,1.055
0.012,0.133,1.051
0.016,0.121,1.055
0.027,0.121,1.059
0.031,0.137,1.055
0.031,0.137,1.055
0.02,0.125,1.055
0.004,0.121,1.055
-0.008,0.113,1.063
-0.012,0.121,1.07
-0.012,0.133,1.074
-0.012,0.137,1.07
-0.012,0.141,1.07
-0.016,0.141,1.07
-0.027,0.137,1.07
-0.027,0.137,1.07
-0.031,0.133,1.066
-0.027,0.133,1.063
-0.02,0.137,1.059
-0.016,0.141,1.059
-0.016,0.141,1.047
-0.02,0.137,1.043
-0.027,0.125,1.039
-0.039,0.117,1.039
-0.043,0.105,1.039
-0.051,0.102,1.035
-0.047,0.102,1.035
-0.039,0.102,1.031
-0.031,0.102,1.027
-0.027,0.098,1.023
-0.023,0.098,1.023
-0.02,0.102,1.031
-0.016,0.102,1.035
-0.012,0.102,1.039
-0.027,0.105,1.051
-0.043,0.121,1.063
-0.059,0.137,1.063
-0.07,0.152,1.059
-0.078,0.168,1.051
-0.078,0.176,1.035
-0.074,0.191,1.031
-0.078,0.199,1.027
-0.102,0.207,1.02
-0.129,0.199,1.016
-0.16,0.184,1.004
-0.199,0.156,0.988
-0.215,0.121,0.977
-0.219,0.109,0.973
-0.203,0.109,0.969
-0.191,0.109,0.965
-0.188,0.105,0.977
-0.188,0.098,0.988
-0.195,0.074,0.996
-0.199,0.066,1.0
-0.188,0.082,1.008
-0.176,0.09,1.016
-0.172,0.102,1.008
-0.164,0.105,1.008
-0.172,0.098,1.004
-0.18,0.074,1.004
-0.188,0.066,1.0
-0.184,0.063,0.988
-0.176,0.066,0.973
-0.164,0.078,0.969
-0.152,0.078,0.965
-0.145,0.066,0.965
-0.141,0.051,0.98
-0.145,0.035,0.996
-0.141,0.031,1.016
-0.129,0.039,1.027
-0.121,0.055,1.027
-0.113,0.066,1.016
-0.109,0.063,1.012
-0.109,0.051,1.012
-0.109,0.031,1.012
-0.109,0.027,1.02
-0.105,0.051,1.027
-0.09,0.082,1.027
-0.078,0.098,1.035
-0.074,0.098,1.043
-0.086,0.07,1.055
-0.098,0.039,1.07
-0.102,0.016,1.098
-0.082,0.004,1.133
-0.047,-0.012,1.188
-0.004,-0.027,1.242
0.035,0.004,1.277
0.059,0.07,1.277
0.055,0.145,1.242
0.031,0.195,1.195
0.004,0.211,1.18
0.0,0.23,1.172
0.008,0.246,1.156
0.043,0.258,1.137
0.059,0.273,1.102
0.059,0.285,1.066
0.055,0.281,1.031
0.039,0.266,1.008
0.027,0.238,1.0
0.027,0.211,1.004
0.059,0.184,1.008
0.098,0.164,1.016
0.129,0.16,1.008
0.141,0.156,1.004
0.133,0.16,1.0
0.105,0.156,0.996
0.07,0.164,0.988
0.043,0.168,0.977
0.035,0.168,0.969
0.047,0.168,0.965
0.059,0.172,0.965
0.07,0.164,0.961
0.074,0.16,0.957
0.094,0.152,0.957
0.098,0.156,0.961
0.098,0.164,0.973
0.086,0.164,0.988
0.055,0.168,1.0
0.027,0.176,1.008
0.004,0.184,1.02
-0.004,0.184,1.031
-0.004,0.188,1.035
0.008,0.188,1.039
0.02,0.184,1.039
0.031,0.16,1.039
0.043,0.133,1.039
0.043,0.102,1.035
0.043,0.074,1.031
0.051,0.07,1.047
0.063,0.078,1.063
0.074,0.086,1.074
0.074,0.098,1.082
0.07,0.105,1.082
0.055,0.098,1.07
0.039,0.086,1.063
0.02,0.059,1.059
0.0,0.027,1.063
-0.012,-0.004,1.07
-0.012,-0.043,1.07
-0.004,-0.074,1.047
-0.012,-0.078,1.031
-0.063,-0.031,1.027
-0.129,0.027,1.043
-0.172,0.059,1.086
-0.223,0.105,1.109
-0.246,0.168,1.102
-0.234,0.223,1.07
-0.191,0.258,1.035
-0.145,0.258,1.0
-0.125,0.238,0.973
-0.148,0.219,0.984
-0.191,0.191,1.016
-0.238,0.176,1.039
-0.262,0.152,1.066
-0.27,0.125,1.074
-0.258,0.102,1.082
-0.223,0.086,1.078
-0.176,0.102,1.078
-0.121,0.129,1.074
-0.074,0.152,1.086
-0.047,0.172,1.09
-0.035,0.203,1.086
-0.027,0.215,1.078
-0.023,0.223,1.07
-0.027,0.238,1.055
-0.027,0.25,1.043
-0.043,0.262,1.039
-0.063,0.273,1.023
-0.09,0.266,1.008
-0.117,0.254,1.0
-0.141,0.25,0.984
-0.145,0.254,0.961
-0.133,0.262,0.941
-0.109,0.262,0.93
-0.09,0.254,0.918
-0.086,0.23,0.91
-0.086,0.199,0.902
-0.094,0.172,0.895
-0.102,0.145,0.883
-0.117,0.121,0.867
-0.133,0.109,0.859
-0.145,0.086,0.867
-0.152,0.07,0.879
-0.164,0.043,0.898
-0.172,0.012,0.914
-0.176,-0.027,0.922
-0.188,-0.047,0.922
-0.199,-0.035,0.922
-0.207,-0.012,0.914
-0.215,-0.016,0.898
-0.207,-0.059,0.914
-0.191,-0.117,0.941
-0.152,-0.148,1.008
-0.051,-0.148,1.109
0.059,-0.141,1.207
0.148,-0.109,1.289
0.223,-0.031,1.332
0.242,0.098,1.309
0.223,0.211,1.258
0.18,0.273,1.215
0.137,0.293,1.203
0.113,0.285,1.215
0.121,0.285,1.227
0.145,0.289,1.242
0.156,0.293,1.242
