x_acc,y_acc,z_acc
-0.086,-0.117,1.066
-0.086,-0.125,1.07
-0.094,-0.121,1.063
-0.098,-0.113,1.063
-0.105,-0.113,1.059
-0.105,-0.117,1.055
-0.109,-0.125,1.059
-0.113,-0.121,1.059
-0.117,-0.125,1.059
-0.129,-0.113,1.059
-0.137,-0.113,1.063
-0.141,-0.121,1.066
-0.145,-0.129,1.055
-0.145,-0.133,1.051
-0.145,-0.129,1.043
-0.141,-0.121,1.043
-0.141,-0.113,1.039
-0.141,-0.109,1.043
-0.137,-0.102,1.051
-0.129,-0.105,1.059
-0.117,-0.105,1.066
-0.105,-0.105,1.07
-0.098,-0.113,1.07
-0.09,-0.121,1.07
-0.086,-0.121,1.07
-0.086,-0.117,1.07
-0.09,-0.109,1.078
-0.094,-0.109,1.082
-0.102,-0.109,1.078
-0.094,-0.109,1.074
-0.082,-0.109,1.07
-0.055,-0.102,1.07
-0.031,-0.086,1.066
-0.012,-0.078,1.063
0.004,-0.07,1.063
0.02,-0.063,1.059
0.027,-0.047,1.051
0.035,-0.047,1.051
0.047,-0.059,1.047
0.059,-0.078,1.043
0.059,-0.098,1.039
0.059,-0.121,1.031
0.059,-0.133,1.023
0.051,-0.137,1.023
0.043,-0.141,1.023
0.043,-0.145,1.023
0.035,-0.152,1.023
0.027,-0.156,1.035
0.023,-0.152,1.039
0.023,-0.141,1.051
0.012,-0.125,1.059
0.023,-0.121,1.066
0.023,-0.121,1.063
0.027,-0.117,1.063
0.031,-0.105,1.059
0.039,-0.105,1.066
0.043,-0.098,1.059
0.047,-0.098,1.059
0.047,-0.102,1.051
0.047,-0.102,1.055
0.039,-0.105,1.059
0.031,-0.113,1.063
0.027,-0.117,1.066
0.027,-0.121,1.07
0.023,-0.129,1.07
0.02,-0.129,1.07
0.02,-0.133,1.066
0.008,-0.137,1.07
0.008,-0.137,1.07
0.008,-0.133,1.07
0.008,-0.133,1.078
0.012,-0.133,1.082
0.004,-0.129,1.082
0.016,-0.121,1.09
0.012,-0.125,1.094
0.004,-0.141,1.09
0.0,-0.16,1.094
0.004,-0.184,1.09
0.012,-0.195,1.082
0.02,-0.207,1.082
0.016,-0.195,1.078
0.004,-0.184,1.063
0.0,-0.176,1.059
0.012,-0.164,1.063
0.016,-0.145,1.051
0.012,-0.125,1.047
0.0,-0.113,1.059
-0.016,-0.109,1.066
-0.023,-0.113,1.074
-0.035,-0.113,1.086
-0.039,-0.113,1.098
-0.039,-0.109,1.102
-0.035,-0.109,1.105
-0.02,-0.102,1.105
-0.02,-0.094,1.105
-0.027,-0.094,1.105
-0.027,-0.105,1.098
-0.027,-0.105,1.082
-0.027,-0.109,1.078
-0.035,-0.109,1.066
-0.059,-0.098,1.059
-0.078,-0.086,1.066
-0.113,-0.082,1.055
-0.137,-0.082,1.047
-0.148,-0.094,1.039
-0.145,-0.109,1.016
-0.133,-0.117,0.996
-0.125,-0.133,0.98
-0.129,-0.148,0.957
-0.125,-0.168,0.945
-0.125,-0.195,0.945
-0.121,-0.207,0.953
-0.121,-0.211,0.961
-0.125,-0.211,0.965
-0.125,-0.207,0.977
-0.121,-0.195,0.988
-0.121,-0.18,0.996
-0.117,-0.16,1.012
-0.113,-0.145,1.027
-0.109,-0.137,1.035
-0.105,-0.137,1.039
-0.102,-0.141,1.035
-0.098,-0.148,1.031
-0.086,-0.16,1.031
-0.078,-0.148,1.039
-0.082,-0.141,1.043
-0.094,-0.141,1.039
-0.094,-0.145,1.039
-0.094,-0.148,1.039
-0.094,-0.152,1.031
-0.098,-0.152,1.02
-0.098,-0.148,1.012
-0.105,-0.145,1.012
-0.105,-0.152,1.012
-0.105,-0.156,1.0
-0.094,-0.172,1.0
-0.082,-0.184,1.0
-0.078,-0.188,1.008
-0.078,-0.176,1.027
-0.078,-0.172,1.051
-0.074,-0.18,1.063
-0.059,-0.207,1.074
-0.027,-0.246,1.094
0.012,-0.273,1.129
0.047,-0.27,1.16
0.059,-0.242,1.172
0.059,-0.215,1.18
0.055,-0.199,1.18
0.047,-0.188,1.184
0.043,-0.164,1.184
0.039,-0.137,1.168
0.051,-0.098,1.152
0.043,-0.059,1.125
0.031,-0.023,1.102
0.047,-0.008,1.078
0.07,-0.004,1.059
0.09,-0.016,1.043
0.102,-0.02,1.023
0.09,-0.02,1.016
0.086,-0.016,1.004
0.066,-0.023,1.008
0.051,-0.035,1.008
0.051,-0.043,1.012
0.043,-0.051,1.012
0.039,-0.051,1.023
0.035,-0.043,1.039
0.035,-0.035,1.047
0.027,-0.031,1.063
0.027,-0.027,1.078
0.035,-0.027,1.086
0.039,-0.035,1.09
0.039,-0.035,1.094
0.035,-0.027,1.094
0.035,-0.027,1.09
0.031,-0.035,1.086
0.031,-0.047,1.074
0.039,-0.059,1.059
0.051,-0.07,1.043
0.055,-0.074,1.031
0.047,-0.07,1.027
0.035,-0.07,1.031
0.035,-0.074,1.035
0.043,-0.086,1.035
0.051,-0.09,1.039
0.066,-0.086,1.043
0.074,-0.094,1.047
0.086,-0.098,1.047
0.098,-0.09,1.055
0.094,-0.09,1.066
0.082,-0.09,1.082
0.066,-0.098,1.094
0.066,-0.105,1.09
0.074,-0.102,1.09
0.09,-0.105,1.094
0.098,-0.105,1.09
0.094,-0.113,1.09
0.074,-0.129,1.086
0.063,-0.129,1.086
0.059,-0.137,1.082
0.055,-0.141,1.074
0.047,-0.145,1.055
0.055,-0.16,1.039
0.055,-0.164,1.039
0.059,-0.125,1.074
0.059,-0.07,1.105
0.031,-0.047,1.121
-0.031,-0.07,1.141
-0.09,-0.098,1.141
-0.113,-0.094,1.117
-0.098,-0.063,1.082
-0.082,-0.043,1.055
-0.078,-0.055,1.035
-0.086,-0.078,1.02
-0.098,-0.105,1.012
-0.102,-0.117,1.008
-0.098,-0.113,1.004
-0.082,-0.109,1.008
-0.07,-0.098,1.012
-0.055,-0.102,1.02
-0.031,-0.098,1.031
-0.004,-0.086,1.035
0.012,-0.078,1.039
0.02,-0.063,1.039
0.016,-0.051,1.055
0.012,-0.043,1.066
0.004,-0.039,1.07
-0.008,-0.051,1.07
-0.016,-0.07,1.066
-0.031,-0.094,1.07
-0.047,-0.109,1.07
-0.055,-0.109,1.066
-0.063,-0.109,1.059
-0.059,-0.105,1.043
-0.055,-0.113,1.027
-0.047,-0.117,1.012
-0.047,-0.129,1.004
-0.043,-0.137,0.98
-0.047,-0.137,0.973
-0.055,-0.137,0.965
-0.07,-0.141,0.961
-0.086,-0.129,0.965
-0.098,-0.109,0.973
-0.105,-0.098,0.984
-0.09,-0.094,1.02
-0.074,-0.113,1.063
-0.051,-0.16,1.109
-0.012,-0.215,1.152
0.027,-0.254,1.168
0.047,-0.273,1.152
0.043,-0.27,1.125
0.027,-0.227,1.094
0.035,-0.172,1.074
0.039,-0.137,1.074
0.059,-0.113,1.109
0.098,-0.094,1.141
0.129,-0.07,1.141
0.141,-0.043,1.117
0.121,-0.012,1.094
0.109,0.004,1.086
0.117,0.008,1.082
0.133,-0.012,1.078
0.125,-0.043,1.074
0.109,-0.078,1.078
0.098,-0.102,1.094
0.102,-0.109,1.09
0.09,-0.109,1.082
0.078,-0.105,1.082
0.063,-0.109,1.078
