x_acc,y_acc,z_acc
-0.156,-0.469,0.828
-0.156,-0.492,0.844
-0.148,-0.551,0.867
-0.141,-0.633,0.902
-0.113,-0.695,0.934
-0.063,-0.703,0.953
-0.012,-0.656,0.961
0.008,-0.617,0.965
-0.004,-0.594,0.965
-0.023,-0.582,0.957
-0.043,-0.578,0.941
-0.047,-0.57,0.93
-0.023,-0.563,0.91
0.023,-0.535,0.898
0.074,-0.508,0.891
0.125,-0.508,0.906
0.145,-0.523,0.918
0.137,-0.551,0.945
0.109,-0.598,0.973
0.07,-0.641,0.98
0.027,-0.656,0.973
-0.012,-0.656,0.969
-0.035,-0.645,0.953
-0.039,-0.633,0.949
-0.039,-0.637,0.941
-0.031,-0.637,0.93
-0.023,-0.637,0.918
-0.023,-0.633,0.902
-0.02,-0.629,0.891
-0.027,-0.617,0.867
-0.027,-0.617,0.844
-0.027,-0.621,0.824
-0.023,-0.629,0.801
-0.023,-0.625,0.785
-0.012,-0.617,0.773
-0.004,-0.629,0.762
-0.004,-0.633,0.758
0.0,-0.629,0.762
0.004,-0.629,0.766
0.0,-0.629,0.77
-0.008,-0.617,0.77
-0.004,-0.613,0.773
0.004,-0.609,0.777
0.012,-0.602,0.781
0.02,-0.598,0.789
0.023,-0.59,0.797
0.023,-0.59,0.805
0.023,-0.598,0.793
0.023,-0.609,0.789
0.023,-0.609,0.789
0.027,-0.602,0.785
0.035,-0.602,0.777
0.039,-0.602,0.773
0.051,-0.598,0.777
0.051,-0.613,0.793
0.051,-0.625,0.813
0.043,-0.645,0.824
0.043,-0.664,0.836
0.039,-0.684,0.848
0.035,-0.707,0.852
0.027,-0.738,0.848
0.023,-0.766,0.844
0.02,-0.773,0.828
0.0,-0.766,0.816
-0.023,-0.762,0.813
-0.027,-0.758,0.813
-0.027,-0.758,0.797
-0.035,-0.762,0.789
-0.047,-0.766,0.785
-0.051,-0.766,0.781
-0.051,-0.754,0.773
-0.047,-0.75,0.762
-0.043,-0.734,0.746
-0.043,-0.691,0.73
-0.055,-0.656,0.719
-0.07,-0.625,0.699
-0.086,-0.598,0.688
-0.102,-0.586,0.691
-0.121,-0.594,0.711
-0.137,-0.613,0.742
-0.156,-0.637,0.785
-0.164,-0.652,0.816
-0.172,-0.652,0.844
-0.168,-0.637,0.879
-0.156,-0.637,0.902
-0.137,-0.641,0.91
-0.129,-0.637,0.922
-0.125,-0.613,0.93
-0.125,-0.586,0.934
-0.133,-0.57,0.926
-0.133,-0.559,0.922
-0.125,-0.535,0.906
-0.121,-0.512,0.891
-0.117,-0.488,0.867
-0.117,-0.477,0.852
-0.113,-0.465,0.828
-0.109,-0.441,0.813
-0.109,-0.406,0.805
-0.117,-0.375,0.789
-0.129,-0.355,0.773
-0.152,-0.352,0.793
-0.176,-0.383,0.852
-0.184,-0.488,0.891
-0.141,-0.602,0.918
-0.055,-0.625,0.949
0.035,-0.594,0.965
0.082,-0.535,0.973
0.078,-0.488,0.988
0.031,-0.492,0.996
-0.02,-0.531,0.996
-0.027,-0.57,0.996
-0.004,-0.586,0.988
0.039,-0.574,0.988
0.074,-0.547,0.988
0.086,-0.535,0.98
0.086,-0.559,0.988
0.07,-0.586,0.992
0.059,-0.629,0.996
0.039,-0.668,1.0
0.027,-0.688,0.988
0.004,-0.68,0.969
-0.016,-0.656,0.961
-0.02,-0.648,0.957
-0.012,-0.648,0.953
0.0,-0.652,0.941
0.012,-0.648,0.926
0.016,-0.645,0.906
0.012,-0.648,0.887
0.004,-0.637,0.863
-0.004,-0.625,0.848
-0.008,-0.617,0.836
-0.008,-0.609,0.82
-0.012,-0.613,0.813
-0.012,-0.613,0.793
-0.012,-0.613,0.789
-0.012,-0.605,0.785
-0.008,-0.602,0.785
-0.008,-0.598,0.781
0.004,-0.582,0.781
0.008,-0.57,0.777
0.016,-0.566,0.777
0.02,-0.547,0.781
0.031,-0.539,0.785
0.035,-0.531,0.781
0.047,-0.527,0.781
0.051,-0.535,0.781
0.055,-0.547,0.777
0.066,-0.559,0.773
0.066,-0.563,0.773
0.074,-0.574,0.777
0.078,-0.594,0.785
0.07,-0.625,0.789
0.063,-0.645,0.789
0.039,-0.66,0.801
0.016,-0.668,0.828
0.004,-0.695,0.863
-0.016,-0.746,0.887
-0.039,-0.785,0.898
-0.063,-0.805,0.895
-0.09,-0.805,0.879
-0.102,-0.789,0.863
-0.098,-0.773,0.84
-0.078,-0.746,0.82
-0.063,-0.711,0.797
-0.059,-0.684,0.773
-0.047,-0.66,0.75
-0.043,-0.633,0.727
-0.059,-0.605,0.719
-0.074,-0.582,0.719
-0.086,-0.582,0.73
-0.105,-0.594,0.746
-0.121,-0.609,0.773
-0.137,-0.637,0.805
-0.148,-0.645,0.832
-0.152,-0.652,0.859
-0.145,-0.664,0.887
-0.133,-0.664,0.902
-0.109,-0.645,0.918
-0.09,-0.617,0.926
-0.086,-0.598,0.938
-0.082,-0.598,0.934
-0.078,-0.598,0.918
-0.07,-0.59,0.902
-0.07,-0.578,0.887
-0.07,-0.57,0.871
-0.078,-0.566,0.855
-0.074,-0.555,0.84
-0.078,-0.543,0.828
-0.086,-0.523,0.82
-0.09,-0.504,0.82
-0.102,-0.484,0.824
-0.109,-0.457,0.82
-0.125,-0.438,0.813
-0.133,-0.422,0.801
-0.141,-0.406,0.789
-0.156,-0.414,0.805
-0.164,-0.461,0.852
-0.168,-0.57,0.891
-0.148,-0.695,0.902
-0.09,-0.742,0.914
-0.02,-0.695,0.914
0.02,-0.621,0.926
0.016,-0.605,0.945
-0.012,-0.629,0.957
-0.031,-0.66,0.961
-0.035,-0.68,0.945
-0.02,-0.68,0.93
0.02,-0.652,0.914
0.066,-0.625,0.906
0.102,-0.609,0.895
0.117,-0.602,0.883
0.125,-0.605,0.879
0.121,-0.625,0.883
0.105,-0.656,0.898
0.078,-0.691,0.91
0.063,-0.723,0.918
0.043,-0.73,0.91
0.016,-0.715,0.887
-0.008,-0.699,0.871
-0.016,-0.688,0.863
-0.02,-0.688,0.859
-0.02,-0.688,0.859
-0.016,-0.676,0.855
-0.012,-0.668,0.844
-0.008,-0.66,0.832
-0.008,-0.656,0.82
-0.004,-0.656,0.797
0.012,-0.656,0.773
0.02,-0.648,0.758
0.035,-0.641,0.738
0.043,-0.637,0.723
0.051,-0.625,0.703
0.055,-0.617,0.691
0.059,-0.605,0.684
0.066,-0.602,0.68
0.07,-0.594,0.68
0.074,-0.586,0.68
0.082,-0.578,0.691
0.074,-0.57,0.699
0.07,-0.566,0.707
0.063,-0.551,0.715
0.055,-0.543,0.727
0.055,-0.539,0.738
0.055,-0.535,0.746
0.063,-0.543,0.754
0.07,-0.543,0.762
0.082,-0.586,0.789
0.094,-0.668,0.82
0.102,-0.762,0.848
0.082,-0.832,0.879
0.063,-0.871,0.902
0.035,-0.887,0.918
0.008,-0.887,0.914
0.0,-0.875,0.91
0.008,-0.859,0.902
0.016,-0.84,0.898
0.027,-0.836,0.895
0.035,-0.84,0.867
0.02,-0.828,0.816
-0.004,-0.801,0.758
-0.027,-0.742,0.699
-0.051,-0.68,0.664
-0.066,-0.648,0.648
-0.074,-0.641,0.637
-0.082,-0.637,0.645
-0.07,-0.648,0.672
-0.07,-0.664,0.699
-0.086,-0.672,0.727
-0.105,-0.688,0.762
-0.117,-0.695,0.797
-0.133,-0.688,0.832
-0.137,-0.688,0.859
-0.137,-0.699,0.871
-0.121,-0.695,0.875
-0.102,-0.668,0.875
-0.094,-0.633,0.879
-0.09,-0.621,0.875
-0.09,-0.645,0.863
-0.086,-0.676,0.836
-0.078,-0.691,0.805
-0.074,-0.695,0.781
-0.074,-0.684,0.762
-0.074,-0.672,0.742
-0.074,-0.652,0.723
-0.07,-0.641,0.703
-0.074,-0.617,0.691
-0.082,-0.609,0.68
-0.082,-0.605,0.684
-0.082,-0.602,0.684
-0.082,-0.594,0.684
-0.098,-0.574,0.684
-0.109,-0.543,0.695
-0.125,-0.516,0.711
-0.137,-0.488,0.734
-0.137,-0.465,0.754
-0.137,-0.441,0.766
-0.137,-0.434,0.777
-0.145,-0.453,0.773
