0.094,-0.984,0.23
0.094,-0.984,0.23
0.094,-0.992,0.23
0.094,-0.992,0.234
0.094,-0.996,0.238
0.094,-0.996,0.234
0.094,-0.996,0.234
0.082,-0.996,0.227
0.078,-0.996,0.23
0.086,-0.996,0.23
0.094,-0.996,0.227
0.102,-0.996,0.223
0.105,-0.98,0.227
0.098,-0.977,0.215
0.094,-0.988,0.195
0.09,-0.992,0.184
0.09,-0.996,0.188
0.086,-0.98,0.199
0.078,-0.973,0.219
0.074,-0.973,0.227
0.074,-0.977,0.234
0.078,-0.973,0.246
0.078,-0.969,0.25
0.074,-0.961,0.258
0.07,-0.961,0.258
0.07,-0.957,0.262
0.059,-0.973,0.246
0.055,-0.984,0.238
0.051,-0.992,0.227
0.055,-0.992,0.223
0.063,-0.988,0.223
0.063,-0.969,0.227
0.059,-0.953,0.227
0.043,-0.93,0.234
0.027,-0.918,0.246
0.016,-0.906,0.25
0.004,-0.906,0.25
0.0,-0.922,0.254
0.0,-0.953,0.258
0.0,-0.977,0.266
0.0,-0.996,0.27
0.008,-1.004,0.27
0.027,-1.016,0.277
0.047,-1.012,0.273
0.055,-1.012,0.266
0.066,-1.004,0.254
0.066,-0.992,0.242
0.066,-0.988,0.227
0.059,-0.988,0.215
0.063,-0.98,0.195
0.059,-0.977,0.18
0.059,-0.965,0.172
0.055,-0.961,0.176
0.047,-0.961,0.172
0.039,-0.961,0.176
0.027,-0.961,0.184
0.02,-0.961,0.188
0.016,-0.961,0.199
0.02,-0.965,0.211
0.02,-0.961,0.219
0.016,-0.961,0.219
0.02,-0.953,0.227
0.035,-0.945,0.227
0.055,-0.941,0.215
0.078,-0.941,0.215
0.082,-0.941,0.211
0.086,-0.949,0.211
0.074,-0.965,0.211
0.066,-0.98,0.207
0.051,-0.992,0.211
0.035,-1.0,0.223
0.012,-1.016,0.227
0.0,-1.027,0.227
-0.004,-1.039,0.223
0.0,-1.047,0.227
0.004,-1.047,0.23
0.012,-1.051,0.219
0.016,-1.059,0.223
0.02,-1.063,0.223
0.027,-1.059,0.227
0.02,-1.063,0.227
0.016,-1.066,0.227
0.008,-1.07,0.223
0.004,-1.082,0.227
-0.012,-1.09,0.227
-0.016,-1.09,0.227
-0.031,-1.102,0.23
-0.039,-1.105,0.238
-0.047,-1.113,0.238
-0.051,-1.137,0.238
-0.035,-1.188,0.25
0.0,-1.227,0.273
0.063,-1.207,0.313
0.105,-1.152,0.363
0.105,-1.098,0.402
0.086,-1.066,0.438
0.082,-1.051,0.453
0.105,-1.023,0.449
0.133,-0.961,0.441
0.156,-0.887,0.434
0.176,-0.836,0.406
0.207,-0.836,0.375
0.242,-0.852,0.344
0.262,-0.867,0.328
0.266,-0.867,0.328
0.262,-0.867,0.336
0.266,-0.887,0.348
0.258,-0.922,0.359
0.238,-0.945,0.367
0.207,-0.957,0.375
0.18,-0.941,0.387
0.16,-0.926,0.387
0.168,-0.914,0.371
0.172,-0.902,0.344
0.184,-0.879,0.316
0.195,-0.859,0.293
0.199,-0.844,0.277
0.191,-0.832,0.254
0.18,-0.824,0.246
0.16,-0.816,0.238
0.141,-0.813,0.242
0.117,-0.809,0.242
0.109,-0.805,0.238
0.098,-0.797,0.242
0.098,-0.789,0.238
0.098,-0.781,0.238
0.098,-0.773,0.234
0.109,-0.781,0.227
0.121,-0.789,0.219
0.133,-0.809,0.211
0.141,-0.824,0.199
0.141,-0.848,0.195
0.137,-0.859,0.195
0.137,-0.867,0.191
0.145,-0.871,0.195
0.152,-0.883,0.199
0.16,-0.895,0.211
0.172,-0.91,0.215
0.18,-0.934,0.219
0.18,-0.957,0.227
0.18,-0.977,0.238
0.172,-0.996,0.246
0.18,-1.012,0.254
0.18,-1.027,0.254
0.188,-1.051,0.25
0.199,-1.074,0.254
0.195,-1.113,0.262
0.191,-1.156,0.266
0.188,-1.203,0.281
0.184,-1.238,0.293
0.172,-1.258,0.313
0.172,-1.27,0.316
0.164,-1.285,0.309
0.133,-1.285,0.316
0.094,-1.262,0.336
0.074,-1.207,0.352
0.074,-1.145,0.363
0.07,-1.098,0.363
0.063,-1.07,0.352
0.043,-1.035,0.336
0.023,-0.996,0.328
0.0,-0.961,0.32
-0.016,-0.957,0.316
-0.016,-0.965,0.32
-0.008,-0.98,0.34
-0.012,-0.977,0.363
-0.004,-0.961,0.395
0.012,-0.957,0.422
0.047,-0.953,0.434
0.086,-0.949,0.43
0.105,-0.949,0.418
0.098,-0.93,0.398
0.086,-0.902,0.375
0.086,-0.871,0.344
0.078,-0.836,0.313
0.07,-0.809,0.277
0.055,-0.785,0.238
0.039,-0.773,0.211
0.031,-0.77,0.191
0.023,-0.766,0.188
0.016,-0.766,0.176
0.016,-0.77,0.18
0.008,-0.77,0.188
0.008,-0.77,0.203
0.008,-0.773,0.207
0.004,-0.781,0.207
-0.004,-0.781,0.207
-0.004,-0.789,0.203
0.0,-0.805,0.199
0.0,-0.82,0.207
0.004,-0.844,0.207
-0.004,-0.852,0.207
0.0,-0.863,0.219
0.0,-0.879,0.219
-0.004,-0.914,0.219
-0.012,-0.945,0.223
-0.02,-0.98,0.23
-0.027,-1.016,0.246
-0.039,-1.047,0.27
-0.059,-1.086,0.293
-0.07,-1.121,0.316
-0.07,-1.164,0.328
-0.063,-1.195,0.348
-0.043,-1.215,0.359
-0.023,-1.227,0.355
0.0,-1.238,0.344
0.02,-1.246,0.32
0.035,-1.242,0.277
0.035,-1.266,0.242
0.055,-1.332,0.203
0.09,-1.398,0.184
0.125,-1.379,0.215
0.121,-1.254,0.305
0.102,-1.102,0.371
0.102,-0.984,0.391
0.121,-0.945,0.379
0.168,-0.957,0.359
0.234,-0.977,0.332
0.277,-0.969,0.32
0.281,-0.941,0.328
0.27,-0.922,0.332
0.258,-0.93,0.34
0.23,-0.949,0.34
0.18,-0.973,0.344
0.121,-0.984,0.348
0.094,-0.977,0.348
0.086,-0.945,0.359
0.09,-0.902,0.355
0.09,-0.844,0.34
0.098,-0.793,0.316
0.105,-0.762,0.285
0.105,-0.742,0.254
0.109,-0.727,0.227
0.121,-0.719,0.215
0.125,-0.711,0.203
0.113,-0.711,0.199
0.109,-0.703,0.203
0.109,-0.695,0.211
0.109,-0.695,0.215
0.102,-0.695,0.219
0.102,-0.703,0.219
0.102,-0.723,0.215
