700,-0.207,-1.0,0.621
701,-0.188,-1.012,0.629
702,-0.172,-0.988,0.625
703,-0.156,-0.949,0.617
704,-0.141,-0.926,0.613
705,-0.133,-0.906,0.609
706,-0.125,-0.891,0.602
707,-0.117,-0.883,0.594
708,-0.113,-0.879,0.594
709,-0.086,-0.887,0.605
710,-0.07,-0.883,0.598
711,-0.063,-0.867,0.586
712,-0.066,-0.844,0.582
713,-0.078,-0.82,0.578
714,-0.09,-0.809,0.574
715,-0.109,-0.793,0.574
716,-0.125,-0.785,0.574
717,-0.137,-0.781,0.566
718,-0.148,-0.777,0.57
719,-0.152,-0.781,0.57
720,-0.156,-0.785,0.574
721,-0.164,-0.793,0.574
722,-0.168,-0.801,0.574
723,-0.176,-0.809,0.566
724,-0.176,-0.809,0.566
725,-0.172,-0.816,0.57
726,-0.168,-0.828,0.574
727,-0.16,-0.844,0.574
728,-0.152,-0.859,0.574
729,-0.145,-0.871,0.566
730,-0.129,-0.879,0.566
731,-0.113,-0.883,0.563
732,-0.105,-0.883,0.555
733,-0.094,-0.867,0.551
734,-0.09,-0.867,0.547
735,-0.094,-0.867,0.539
736,-0.098,-0.875,0.531
737,-0.094,-0.871,0.52
738,-0.094,-0.871,0.512
739,-0.086,-0.871,0.504
740,-0.078,-0.875,0.5
741,-0.078,-0.883,0.5
742,-0.07,-0.879,0.5
743,-0.066,-0.871,0.496
744,-0.059,-0.867,0.492
745,-0.063,-0.867,0.496
746,-0.07,-0.875,0.496
747,-0.074,-0.879,0.496
748,-0.074,-0.887,0.5
749,-0.074,-0.879,0.504
750,-0.074,-0.871,0.504
751,-0.078,-0.871,0.5
752,-0.078,-0.871,0.5
753,-0.082,-0.875,0.496
754,-0.082,-0.875,0.5
755,-0.086,-0.871,0.504
756,-0.094,-0.871,0.512
757,-0.102,-0.875,0.512
758,-0.109,-0.875,0.508
759,-0.098,-0.879,0.52
760,-0.09,-0.871,0.516
761,-0.082,-0.863,0.527
762,-0.078,-0.852,0.535
763,-0.082,-0.848,0.543
764,-0.09,-0.852,0.539
765,-0.102,-0.859,0.531
766,-0.109,-0.859,0.523
767,-0.125,-0.859,0.512
768,-0.137,-0.871,0.504
769,-0.133,-0.895,0.504
770,-0.129,-0.93,0.5
771,-0.113,-0.965,0.492
772,-0.094,-0.996,0.484
773,-0.066,-1.02,0.484
774,-0.027,-1.008,0.496
775,0.004,-0.977,0.512
776,0.012,-0.945,0.531
777,0.016,-0.934,0.555
778,0.008,-0.93,0.563
779,0.0,-0.934,0.566
780,0.0,-0.926,0.566
781,0.0,-0.906,0.57
782,-0.004,-0.883,0.563
783,-0.012,-0.852,0.559
784,-0.016,-0.824,0.555
785,-0.023,-0.809,0.559
786,-0.039,-0.809,0.543
787,-0.039,-0.824,0.539
788,-0.039,-0.844,0.531
789,-0.043,-0.855,0.527
790,-0.043,-0.863,0.516
791,-0.043,-0.863,0.512
792,-0.031,-0.852,0.508
793,-0.02,-0.848,0.508
794,-0.004,-0.852,0.512
795,0.008,-0.859,0.52
796,0.012,-0.871,0.523
797,0.016,-0.871,0.52
798,0.016,-0.875,0.512
799,0.02,-0.871,0.508
800,0.02,-0.875,0.508
801,0.02,-0.879,0.5
802,0.02,-0.887,0.492
803,0.023,-0.902,0.488
804,0.02,-0.91,0.488
805,0.012,-0.914,0.492
806,0.004,-0.895,0.5
807,-0.004,-0.871,0.504
808,-0.016,-0.859,0.508
809,0.0,-0.859,0.516
810,-0.004,-0.871,0.5
811,-0.008,-0.875,0.492
812,-0.008,-0.879,0.484
813,-0.008,-0.875,0.473
814,0.0,-0.871,0.461
815,0.004,-0.875,0.461
816,0.0,-0.879,0.453
817,0.0,-0.879,0.449
818,-0.004,-0.887,0.449
819,0.0,-0.883,0.449
820,0.0,-0.883,0.441
821,0.0,-0.887,0.441
822,-0.004,-0.879,0.445
823,0.0,-0.871,0.449
824,-0.008,-0.859,0.453
825,0.0,-0.859,0.453
826,0.004,-0.855,0.461
827,-0.004,-0.848,0.473
828,-0.012,-0.844,0.488
829,-0.027,-0.844,0.508
830,-0.035,-0.844,0.531
831,-0.043,-0.848,0.547
832,-0.055,-0.859,0.547
833,-0.059,-0.887,0.531
834,-0.059,-0.938,0.516
835,-0.074,-1.02,0.512
836,-0.113,-1.086,0.531
837,-0.168,-1.09,0.57
838,-0.223,-1.031,0.609
839,-0.25,-0.965,0.633
840,-0.254,-0.941,0.641
841,-0.246,-0.961,0.637
842,-0.227,-1.004,0.633
843,-0.195,-1.031,0.633
844,-0.156,-1.027,0.629
845,-0.137,-0.988,0.621
846,-0.121,-0.949,0.613
847,-0.113,-0.914,0.598
848,-0.113,-0.891,0.594
849,-0.113,-0.871,0.598
850,-0.113,-0.855,0.602
851,-0.117,-0.848,0.598
852,-0.117,-0.836,0.59
853,-0.129,-0.82,0.586
854,-0.137,-0.805,0.57
855,-0.141,-0.797,0.555
856,-0.141,-0.789,0.551
857,-0.145,-0.773,0.547
858,-0.152,-0.77,0.555
859,-0.148,-0.77,0.563
860,-0.152,-0.777,0.563
861,-0.16,-0.797,0.566
862,-0.164,-0.816,0.57
863,-0.168,-0.832,0.57
864,-0.168,-0.844,0.57
865,-0.164,-0.852,0.574
866,-0.16,-0.848,0.578
867,-0.148,-0.848,0.586
868,-0.148,-0.855,0.586
869,-0.141,-0.855,0.586
870,-0.129,-0.863,0.59
871,-0.117,-0.871,0.59
872,-0.113,-0.863,0.586
873,-0.113,-0.855,0.582
874,-0.113,-0.84,0.582
875,-0.105,-0.836,0.574
876,-0.109,-0.836,0.563
877,-0.105,-0.836,0.551
878,-0.105,-0.832,0.547
879,-0.105,-0.84,0.543
880,-0.105,-0.84,0.539
881,-0.105,-0.844,0.535
