,-0.066,-0.848,0.574
2301,-0.008,-0.988,0.465
2302,-0.023,-1.063,0.477
2303,-0.055,-1.098,0.5
2304,-0.094,-1.066,0.523
2305,-0.129,-1.008,0.563
2306,-0.145,-0.969,0.594
2307,-0.145,-0.941,0.605
2308,-0.152,-0.941,0.605
2309,-0.145,-0.977,0.602
2310,-0.156,-1.0,0.59
2311,-0.168,-0.984,0.586
2312,-0.164,-0.949,0.578
2313,-0.152,-0.91,0.582
2314,-0.133,-0.879,0.582
2315,-0.125,-0.859,0.582
2316,-0.117,-0.859,0.594
2317,-0.117,-0.867,0.602
2318,-0.117,-0.871,0.605
2319,-0.109,-0.852,0.613
2320,-0.105,-0.82,0.621
2321,-0.105,-0.793,0.621
2322,-0.105,-0.77,0.629
2323,-0.105,-0.766,0.637
2324,-0.102,-0.762,0.641
2325,-0.094,-0.758,0.648
2326,-0.09,-0.746,0.652
2327,-0.094,-0.746,0.648
2328,-0.105,-0.746,0.648
2329,-0.109,-0.754,0.648
2330,-0.121,-0.766,0.656
2331,-0.121,-0.77,0.66
2332,-0.125,-0.773,0.66
2333,-0.121,-0.777,0.656
2334,-0.117,-0.789,0.645
2335,-0.117,-0.809,0.641
2336,-0.113,-0.82,0.641
2337,-0.113,-0.828,0.645
2338,-0.098,-0.82,0.648
2339,-0.086,-0.813,0.645
2340,-0.078,-0.813,0.637
2341,-0.074,-0.824,0.625
2342,-0.078,-0.832,0.617
2343,-0.078,-0.836,0.605
2344,-0.082,-0.836,0.598
2345,-0.082,-0.836,0.59
2346,-0.082,-0.84,0.586
2347,-0.078,-0.848,0.578
2348,-0.074,-0.852,0.574
2349,-0.07,-0.852,0.57
2350,-0.063,-0.852,0.566
2351,-0.059,-0.848,0.559
2352,-0.059,-0.844,0.559
2353,-0.059,-0.844,0.555
2354,-0.055,-0.844,0.559
2355,-0.055,-0.84,0.551
2356,-0.063,-0.84,0.547
2357,-0.059,-0.844,0.543
2358,-0.074,-0.844,0.543
2359,-0.063,-0.844,0.547
2360,-0.055,-0.844,0.543
2361,-0.059,-0.844,0.539
2362,-0.051,-0.84,0.531
2363,-0.047,-0.84,0.527
2364,-0.047,-0.828,0.527
2365,-0.051,-0.836,0.52
2366,-0.059,-0.844,0.523
2367,-0.059,-0.859,0.516
2368,-0.063,-0.863,0.516
2369,-0.066,-0.855,0.52
2370,-0.07,-0.852,0.516
2371,-0.078,-0.852,0.504
2372,-0.086,-0.855,0.508
2373,-0.098,-0.867,0.508
2374,-0.105,-0.875,0.508
2375,-0.105,-0.891,0.512
2376,-0.109,-0.906,0.516
2377,-0.109,-0.914,0.52
2378,-0.109,-0.922,0.52
2379,-0.109,-0.922,0.512
2380,-0.109,-0.914,0.504
2381,-0.117,-0.91,0.5
2382,-0.113,-0.891,0.5
2383,-0.109,-0.887,0.504
2384,-0.09,-0.887,0.504
2385,-0.066,-0.902,0.504
2386,-0.051,-0.914,0.508
2387,-0.039,-0.914,0.508
2388,-0.043,-0.906,0.508
2389,-0.047,-0.891,0.52
2390,-0.059,-0.891,0.535
2391,-0.059,-0.891,0.574
2392,-0.051,-0.895,0.605
2393,-0.039,-0.898,0.621
2394,-0.027,-0.871,0.621
2395,-0.027,-0.832,0.613
2396,-0.02,-0.797,0.598
2397,-0.012,-0.789,0.59
2398,0.004,-0.809,0.59
2399,0.02,-0.828,0.582
2400,0.039,-0.852,0.586
2401,0.055,-0.844,0.582
2402,0.059,-0.836,0.578
2403,0.063,-0.84,0.566
2404,0.059,-0.852,0.555
2405,0.059,-0.871,0.543
2406,0.047,-0.906,0.531
2407,0.035,-0.918,0.535
2408,0.016,-0.898,0.535
2409,0.027,-0.879,0.563
2410,0.039,-0.875,0.57
2411,0.039,-0.875,0.578
2412,0.035,-0.875,0.582
2413,0.035,-0.867,0.578
2414,0.031,-0.859,0.574
2415,0.039,-0.84,0.563
2416,0.043,-0.809,0.559
2417,0.043,-0.789,0.547
2418,0.035,-0.785,0.535
2419,0.031,-0.789,0.52
2420,0.023,-0.789,0.508
2421,0.023,-0.789,0.504
2422,0.023,-0.781,0.504
2423,0.02,-0.773,0.504
2424,0.008,-0.758,0.508
2425,0.012,-0.746,0.523
2426,0.012,-0.742,0.531
2427,0.004,-0.742,0.531
2428,-0.004,-0.746,0.535
2429,-0.008,-0.766,0.543
2430,-0.008,-0.781,0.555
2431,0.004,-0.797,0.566
2432,0.012,-0.813,0.578
2433,0.02,-0.824,0.574
2434,0.031,-0.852,0.566
2435,0.035,-0.902,0.555
2436,0.043,-0.957,0.523
2437,0.031,-1.059,0.527
2438,-0.012,-1.184,0.543
2439,-0.102,-1.215,0.582
2440,-0.211,-1.141,0.625
2441,-0.277,-1.043,0.668
2442,-0.297,-0.992,0.695
2443,-0.27,-1.012,0.684
2444,-0.234,-1.051,0.648
2445,-0.203,-1.031,0.617
2446,-0.18,-0.969,0.594
2447,-0.168,-0.902,0.582
2448,-0.164,-0.859,0.578
2449,-0.156,-0.828,0.574
2450,-0.137,-0.793,0.574
2451,-0.121,-0.758,0.578
2452,-0.094,-0.723,0.594
2453,-0.09,-0.691,0.617
2454,-0.09,-0.672,0.641
2455,-0.09,-0.668,0.656
2456,-0.102,-0.688,0.672
2457,-0.102,-0.695,0.688
2458,-0.105,-0.699,0.695
2459,-0.098,-0.703,0.707
2460,-0.094,-0.711,0.711
2461,-0.094,-0.723,0.707
2462,-0.094,-0.738,0.699
2463,-0.098,-0.773,0.695
2464,-0.09,-0.809,0.695
2465,-0.078,-0.828,0.691
2466,-0.066,-0.828,0.695
2467,-0.07,-0.816,0.691
2468,-0.078,-0.813,0.684
2469,-0.086,-0.82,0.68
2470,-0.102,-0.832,0.668
2471,-0.102,-0.84,0.66
2472,-0.098,-0.844,0.652
2473,-0.094,-0.84,0.645
2474,-0.082,-0.832,0.633
2475,-0.066,-0.828,0.637
2476,-0.059,-0.828,0.625
2477,-0.055,-0.824,0.621
2478,-0.055,-0.816,0.621
2479,-0.047,-0.809,0.617
2480,-0.051,-0.805,0.617
2481,-0.055,-0.816,0.613
2482,-0.055,-0.82,0.605
2483,-0.055,-0.824,0.598
2484,-0.047,-0.816,0.598
2485,-0.039,-0.809,0.598
2486,-0.039,-0.805,0.598
2487,-0.043,-0.809,0.594
2488,-0.051,-0.816,0.59
2489,-0.047,-0.816,0.59
2490,-0.047,-0.82,0.59
2491,-0.043,-0.82,0.586
2492,-0.043,-0.82,0.582
2493,-0.047,-0.816,0.578
2494,-0.051,-0.813,0.574
2495,-0.051,-0.805,0.566
2496,-0.055,-0.801,0.566
2497,-0.066,-0.809,0.574
2498,-0.063,-0.805,0.578
2499,-0.063,-0.816,0.578
2500,-0.055,-0.816,0.574
2501,-0.059,-0.813,0.574
2502,-0.063,-0.809,0.574
2503,-0.074,-0.816,0.574
2504,-0.086,-0.844,0.57
2505,-0.094,-0.867,0.57
2506,-0.098,-0.891,0.57
2507,-0.086,-0.906,0.566
2508,-0.086,-0.914,0.559
2509,-0.063,-0.914,0.547
2510,-0.051,-0.91,0.527
2511,-0.047,-0.918,0.512
2512,-0.051,-0.938,0.508
2513,-0.051,-0.941,0.516
2514,-0.039,-0.91,0.539
2515,-0.023,-0.883,0.559
